,task,num_observation,algorithm,num_contrastive_parameters,gamma,num_blocks
0,slcp,1,CNRE,2,0.001,2
1,slcp,1,CNRE,2,0.001,3
2,slcp,1,CNRE,2,0.01,2
3,slcp,1,CNRE,2,0.01,3
4,slcp,1,CNRE,2,0.1,2
5,slcp,1,CNRE,2,0.1,3
6,slcp,1,CNRE,2,1.0,2
7,slcp,1,CNRE,2,1.0,3
8,slcp,1,CNRE,2,10.0,2
9,slcp,1,CNRE,2,10.0,3
10,slcp,1,CNRE,2,100.0,2
11,slcp,1,CNRE,2,100.0,3
12,slcp,1,CNRE,10,0.001,2
13,slcp,1,CNRE,10,0.001,3
14,slcp,1,CNRE,10,0.01,2
15,slcp,1,CNRE,10,0.01,3
16,slcp,1,CNRE,10,0.1,2
17,slcp,1,CNRE,10,0.1,3
18,slcp,1,CNRE,10,1.0,2
19,slcp,1,CNRE,10,1.0,3
20,slcp,1,CNRE,10,10.0,2
21,slcp,1,CNRE,10,10.0,3
22,slcp,1,CNRE,10,100.0,2
23,slcp,1,CNRE,10,100.0,3
24,slcp,1,CNRE,25,0.001,2
25,slcp,1,CNRE,25,0.001,3
26,slcp,1,CNRE,25,0.01,2
27,slcp,1,CNRE,25,0.01,3
28,slcp,1,CNRE,25,0.1,2
29,slcp,1,CNRE,25,0.1,3
30,slcp,1,CNRE,25,1.0,2
31,slcp,1,CNRE,25,1.0,3
32,slcp,1,CNRE,25,10.0,2
33,slcp,1,CNRE,25,10.0,3
34,slcp,1,CNRE,25,100.0,2
35,slcp,1,CNRE,25,100.0,3
36,slcp,1,CNRE,50,0.001,2
37,slcp,1,CNRE,50,0.001,3
38,slcp,1,CNRE,50,0.01,2
39,slcp,1,CNRE,50,0.01,3
40,slcp,1,CNRE,50,0.1,2
41,slcp,1,CNRE,50,0.1,3
42,slcp,1,CNRE,50,1.0,2
43,slcp,1,CNRE,50,1.0,3
44,slcp,1,CNRE,50,10.0,2
45,slcp,1,CNRE,50,10.0,3
46,slcp,1,CNRE,50,100.0,2
47,slcp,1,CNRE,50,100.0,3
48,slcp,1,CNRE,75,0.001,2
49,slcp,1,CNRE,75,0.001,3
50,slcp,1,CNRE,75,0.01,2
51,slcp,1,CNRE,75,0.01,3
52,slcp,1,CNRE,75,0.1,2
53,slcp,1,CNRE,75,0.1,3
54,slcp,1,CNRE,75,1.0,2
55,slcp,1,CNRE,75,1.0,3
56,slcp,1,CNRE,75,10.0,2
57,slcp,1,CNRE,75,10.0,3
58,slcp,1,CNRE,75,100.0,2
59,slcp,1,CNRE,75,100.0,3
60,slcp,1,CNRE,100,0.001,2
61,slcp,1,CNRE,100,0.001,3
62,slcp,1,CNRE,100,0.01,2
63,slcp,1,CNRE,100,0.01,3
64,slcp,1,CNRE,100,0.1,2
65,slcp,1,CNRE,100,0.1,3
66,slcp,1,CNRE,100,1.0,2
67,slcp,1,CNRE,100,1.0,3
68,slcp,1,CNRE,100,10.0,2
69,slcp,1,CNRE,100,10.0,3
70,slcp,1,CNRE,100,100.0,2
71,slcp,1,CNRE,100,100.0,3
72,slcp,1,CNRE,150,0.001,2
73,slcp,1,CNRE,150,0.001,3
74,slcp,1,CNRE,150,0.01,2
75,slcp,1,CNRE,150,0.01,3
76,slcp,1,CNRE,150,0.1,2
77,slcp,1,CNRE,150,0.1,3
78,slcp,1,CNRE,150,1.0,2
79,slcp,1,CNRE,150,1.0,3
