,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,828873080,NRE-B,200,200,200,,False,50,2,9.574501,33.3250244140625,0.89615,0.11771405,19.28063,,0.85545,0.07798946,24.05409,,0.8089,0.03892362,25.996782,,0.9082,0.03229618,3.3277519,,0.7959,0.026883483,24.045835,,0.82385,0.011674643,10.898404,,0.93065,0.078783035,29.940987,,0.89245,0.037861347,25.649473,,0.80475,0.032491565,10.732691,,0.81275,0.03439045,2.0667424,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/15,15,
1,two_moons,2180532934,NRE-B,100,100,100,,False,50,2,-9.447344,17.860410563151042,0.52425,0.0008610487,0.08860165,,0.5503,0.0030708313,0.09201842,,0.6008,0.018904924,0.09004479,,0.54045,0.010295212,0.0905864,,0.5949,0.005648017,0.09638712,,0.5521,0.0059109926,0.0924463,,0.59165,0.00076687336,0.089967236,,0.58095,0.0019602776,0.0895767,,0.54935,0.009379923,0.09186881,,0.61545,0.010774255,0.08849381,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/5,5,
2,gaussian_mixture,1517277650,NRE-B,150,150,150,,False,50,2,23.257862,20.67973429361979,0.7771,0.18121278,1.3285887,,0.7509,0.10981345,1.3661966,,0.7371,0.075219095,1.3521245,,0.7438,0.10821295,1.3908554,,0.7506,0.10180968,1.1539848,,0.7351,0.081027806,1.4125628,,0.7435,0.09625071,1.4445535,,0.7481,0.10160804,1.4732647,,0.73735,0.084511876,1.2605926,,0.7725,0.18063897,1.3015115,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/22,22,
3,slcp,2254376072,NRE-B,10,10,10,,False,50,2,-216.66489,27.10892130533854,0.93345,0.07975793,19.145332,,0.90565,0.19278121,23.675827,,0.86675,0.11259425,27.938982,,0.92465,0.093660235,3.1024957,,0.95435,0.12754893,19.832285,,0.8292,0.015235782,11.345316,,0.96875,0.07169926,29.536287,,0.9567,0.2620734,27.39139,,0.87755,0.05702269,8.521265,,0.90415,0.11746746,2.0777235,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/9,9,
4,slcp,383113027,NRE-B,25,25,25,,False,50,2,-79.35558,29.33609822591146,0.92245,0.04194355,19.758963,,0.9055,0.1095351,24.237646,,0.8473,0.10705185,26.679373,,0.93695,0.05640149,2.940567,,0.8479,0.04487896,23.248062,,0.8348,0.057890892,10.847858,,0.94765,0.09806812,30.05717,,0.9154,0.07088423,23.892765,,0.8511,0.04233241,10.031031,,0.92165,0.15122432,1.7088418,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/10,10,
5,two_moons,3435019845,NRE-B,10,10,10,,False,50,2,-55.648117,13.672544352213542,0.57085,0.011122942,0.08794245,,0.57035,0.012529373,0.08927514,,0.62245,0.001709938,0.08725415,,0.5657,0.015373468,0.09208206,,0.61905,0.017531276,0.09045538,,0.56555,0.007344842,0.09313086,,0.67475,0.012925863,0.09321979,,0.64285,0.0040661097,0.089952044,,0.55435,0.004353881,0.088524714,,0.67935,0.011178851,0.093768,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/1,1,
6,gaussian_mixture,1373031362,NRE-B,25,25,25,,False,50,2,-22.295774,15.996033732096354,0.7396,0.06796658,0.5198696,,0.75315,0.07320249,0.36134952,,0.7175,0.07209253,0.39836797,,0.71335,0.07033801,0.98551893,,0.7983,0.073901415,0.43998557,,0.71915,0.07342124,0.83213854,,0.73345,0.07794547,0.3923899,,0.7092,0.07189691,0.8151082,,0.7144,0.073446274,0.6071961,,0.80685,0.071644664,0.41307265,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/18,18,
7,gaussian_mixture,293620267,NRE-B,100,100,100,,False,50,2,-194.35994,20.101749674479166,0.75255,0.09012449,0.5033087,,0.70685,0.068490624,0.260521,,0.73835,0.0783844,0.2900301,,0.71715,0.07051575,0.29406002,,0.77655,0.065006375,0.65945286,,0.7274,0.075686336,0.29124022,,0.71355,0.068526745,0.29674202,,0.72485,0.075416565,0.59755445,,0.7293,0.07927632,0.29653552,,0.7972,0.10870826,0.3839383,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/21,21,
8,gaussian_mixture,2902224851,NRE-B,10,10,10,,False,50,2,6.3087664,14.953741455078125,0.76275,0.04769802,0.42538023,,0.79105,0.08195436,0.6537142,,0.72475,0.0761137,0.21372661,,0.72855,0.069402814,0.43147612,,0.7647,0.052905917,0.50142705,,0.7151,0.071080565,0.4134334,,0.8074,0.07920587,0.38541758,,0.74465,0.071047544,0.3573439,,0.73625,0.06943703,0.2595507,,0.7549,0.044630766,0.6503042,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/17,17,
9,two_moons,2077974469,NRE-B,75,75,75,,False,50,2,-42.752598,16.279978434244793,0.57095,0.0014785528,0.09019907,,0.5434,0.006117463,0.0903173,,0.54415,0.0005723238,0.09182242,,0.55315,0.0024077296,0.09096205,,0.6076,0.01382947,0.09422001,,0.53885,0.0018395185,0.09095007,,0.60065,0.0015799999,0.08770098,,0.59095,0.0038285255,0.08793809,,0.5467,0.0040335655,0.090528496,,0.59975,0.0040718317,0.08785172,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/4,4,
10,two_moons,3553169885,NRE-B,2,2,2,,False,50,2,-42.483784,13.100260416666666,0.6363,0.03133881,0.09279127,,0.6696,0.03897071,0.09023701,,0.6595,0.03905332,0.0894191,,0.6142,0.01482296,0.088117085,,0.7094,0.034507394,0.101555966,,0.61355,0.014968276,0.087927125,,0.68255,0.013839483,0.091405645,,0.6724,0.0249722,0.09199941,,0.6511,0.06268859,0.09079413,,0.72195,0.028264046,0.09459162,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/0,0,
11,gaussian_mixture,1386037797,NRE-B,200,200,200,,False,50,2,22.582947,22.45118611653646,0.7636,0.116191685,1.1814194,,0.74905,0.10147202,1.287549,,0.73825,0.08611429,1.3006063,,0.7361,0.07691121,1.3494527,,0.7529,0.11014283,1.2508354,,0.73995,0.08991575,1.5366588,,0.74565,0.1059289,1.4237583,,0.74285,0.081581056,1.3347613,,0.7353,0.09017813,1.4205055,,0.76475,0.12943995,1.2394224,,,22528.0,/home/ben/sci/fix-cnre/infinite/bench/2024-06-27/13-46-01/23,23,
