,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,slcp,3280776240,CNRE,1,1,2,10.0,0,False,50,2,5.0113945,23.852596028645834,0.8796,0.033559322,20.108547,,0.83045,0.036669493,23.02929,,0.74215,0.010561824,25.69249,,0.9217,0.13150424,4.075267,,0.857,0.03379166,24.063107,,0.7347,0.01153338,11.530593,,0.95455,0.029469013,29.359528,,0.9376,0.049711585,25.295303,,0.74965,0.009007931,9.813783,,0.8616,0.1258319,1.9162998,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/49,49
1,gaussian_mixture,2256086805,CNRE,9,9,10,10.0,0,False,50,2,4.0487623,8.656524658203125,0.73035,0.05161339,1.1870254,,0.70645,0.020956993,1.2106291,,0.68745,0.019452453,0.9007776,,0.67875,0.0066268444,1.0541769,,0.714,0.034501076,1.0067369,,0.6794,0.011247754,1.1801167,,0.6758,0.013237357,1.0651085,,0.6814,0.010156035,0.9677242,,0.67955,0.016927958,0.8516582,,0.74235,0.06706262,0.8829466,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/103,103
2,two_moons,3734783157,CNRE,24,24,25,0.1,0,False,50,2,4.8668413,8.22314910888672,0.5715,0.0010994673,0.09153564,,0.5886,0.0008019209,0.09357145,,0.6161,0.001367569,0.09200085,,0.5848,0.0009794831,0.092240386,,0.59835,5.3286552e-05,0.093024954,,0.60695,0.0011147261,0.09196796,,0.66415,0.002173543,0.09259252,,0.65425,0.0012536049,0.092026085,,0.5938,0.0036910176,0.091992125,,0.6224,0.0015910864,0.09146918,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/15,15
3,gaussian_mixture,1053564906,CNRE,24,24,25,100.0,0,False,50,2,2.7055163,8.258570861816406,0.7477,0.08208704,1.1914427,,0.7218,0.035811663,0.9911473,,0.71585,0.04148829,1.3039663,,0.70865,0.035980046,1.1432517,,0.7326,0.06213498,1.0855473,,0.7096,0.032532156,1.1168602,,0.7225,0.046376944,1.1728358,,0.72055,0.049690843,1.2937808,,0.7204,0.04843712,1.4673579,,0.7463,0.07240003,1.1459568,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/108,108
4,gaussian_mixture,3637672837,CNRE,1,1,2,0.001,0,False,50,2,6.6408916,7.445716857910156,0.8478,0.16499043,0.8431655,,0.76585,0.04612291,1.0577412,,0.7554,0.053106308,0.9092879,,0.7784,0.068941,0.7536456,,0.8468,0.22220051,1.000134,,0.791,0.06743789,0.8934883,,0.75985,0.04662776,0.7375897,,0.73865,0.057029605,1.0257816,,0.77105,0.0506078,0.7382939,,0.85535,0.23753124,1.1723127,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/101,101
5,gaussian_mixture,3666327669,CNRE,149,149,150,0.01,0,False,50,2,6.515025,22.30728556315104,0.74435,0.04382384,0.496926,,0.704,0.01494205,0.9200753,,0.6548,0.011213541,0.70536995,,0.7083,0.015509963,1.130042,,0.7352,0.02298975,0.90071976,,0.6576,0.011774063,0.5427766,,0.6658,0.0057626963,0.80341214,,0.66415,0.007471442,0.920385,,0.6602,0.009962678,0.96728957,,0.7549,0.045945644,0.6834806,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/136,136
6,two_moons,2753495483,CNRE,99,99,100,1.0,0,False,50,2,4.9632983,16.46507568359375,0.5211,0.0018600225,0.091985606,,0.5344,0.00072717667,0.088945195,,0.5918,0.00012588501,0.09134443,,0.50975,0.00015312433,0.0902416,,0.60225,0.0034760237,0.09717693,,0.5083,-2.8371811e-05,0.09138086,,0.62835,0.0021544695,0.090641856,,0.6202,0.00077581406,0.09010142,,0.50535,-1.23381615e-05,0.09151314,,0.6031,0.002109766,0.092694536,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/32,32
7,slcp,792259858,CNRE,49,49,50,0.001,0,False,50,2,5.0203733,12.501361083984374,0.85645,0.01553607,19.395487,,0.81665,0.025233269,22.82109,,0.74465,0.0031949282,26.06736,,0.9142,0.0537405,3.215341,,0.80175,0.024779797,23.866304,,0.7721,0.009998202,11.577266,,0.9,0.0070277452,29.111439,,0.86985,0.007912397,24.625755,,0.8086,0.027139306,9.658281,,0.8422,0.032642603,1.7729295,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/71,71
8,slcp,268744939,CNRE,99,99,100,0.001,0,False,50,2,5.0987597,17.803531901041666,0.84965,0.030797005,19.764717,,0.79355,0.02272892,23.03089,,0.71675,0.008908868,26.513699,,0.90825,0.11084199,3.3407698,,0.7579,0.013330698,24.098713,,0.73995,0.007889628,11.3019495,,0.93655,0.017703295,29.610123,,0.8591,0.0138065815,24.650158,,0.7659,0.01455152,9.906019,,0.81485,0.08185059,2.049872,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/83,83
9,slcp,2261161410,CNRE,1,1,2,0.001,0,False,50,2,4.590825,8.559959920247396,0.87815,0.014598608,19.442894,,0.87275,0.04817629,22.833183,,0.7967,0.012780547,25.926893,,0.9145,0.099346936,3.447042,,0.79565,0.01595068,23.063969,,0.80685,0.019555211,11.53751,,0.94365,0.019982457,29.178356,,0.92315,0.016480088,23.962364,,0.8105,0.025236964,10.689885,,0.8976,0.06296599,1.591269,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/53,53
