,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,slcp,514008411,CNRE,24,24,25,0.1,0,False,50,2,5.0215974,17.092928059895833,0.8798,0.034630537,19.178474,,0.83055,0.028971434,22.075043,,0.8035,0.017452717,26.049667,,0.92285,0.07159346,3.4121299,,0.7692,0.007802725,24.014568,,0.74295,0.00391531,10.578135,,0.9203,0.034518957,29.53461,,0.9139,0.0057252645,24.31088,,0.75435,0.006464362,10.656519,,0.84405,0.044528365,1.883547,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/15,15
1,slcp,671328789,CNRE,99,99,100,1.0,0,False,50,2,4.682274,29.714042154947915,0.8837,0.015269637,20.030243,,0.85115,0.083394766,24.09823,,0.81025,0.011237383,27.258202,,0.9205,0.023665547,3.2340913,,0.78905,0.04610753,24.541656,,0.75855,0.014079094,11.253307,,0.8817,0.054527998,30.248617,,0.86745,0.03205037,24.896984,,0.80835,0.022654533,9.285933,,0.8332,0.0522784,1.885946,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/32,32
2,slcp,2048687111,CNRE,99,99,100,0.001,0,False,50,2,4.804525,23.5130126953125,0.85765,0.024421692,19.617146,,0.78735,0.010118842,22.624874,,0.78405,0.018279076,25.604038,,0.91985,0.08112532,3.2988582,,0.7877,0.016668439,23.325087,,0.75435,0.004413724,11.176082,,0.94805,0.022724152,29.625278,,0.86965,0.0063477755,23.98773,,0.82215,0.014527798,10.560186,,0.87785,0.060978055,1.9160429,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/35,35
3,slcp,2817239874,CNRE,1,1,2,0.001,0,False,50,2,4.8712864,14.631739298502604,0.9122,0.04484248,19.517864,,0.86,0.074599266,22.916967,,0.7638,0.012922287,26.569347,,0.9285,0.10293168,3.745115,,0.8034,0.020192862,22.900326,,0.80015,0.022788048,10.79497,,0.9679,0.013677835,30.177654,,0.93585,0.042797208,24.430988,,0.8008,0.01566565,9.074281,,0.89085,0.13981992,1.8017198,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/5,5
4,slcp,1383686159,CNRE,49,49,50,0.01,0,False,50,2,4.729915,19.705076090494792,0.85665,0.017550826,19.921055,,0.8223,0.03412819,23.837662,,0.7417,0.012423873,26.431698,,0.9279,0.037382126,3.1977296,,0.74075,0.02441597,23.84008,,0.7852,0.021992683,11.286546,,0.9401,0.018581033,30.36286,,0.88255,0.041320562,24.91687,,0.77285,0.019341588,10.432032,,0.7958,0.04844749,2.1413102,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/22,22
5,slcp,2492434080,CNRE,74,74,75,0.01,0,False,50,2,4.659692,21.583475748697918,0.85295,0.012499452,19.496685,,0.75735,0.017945647,22.655373,,0.77885,0.00980854,24.880249,,0.91755,0.054679394,3.6920018,,0.80755,0.020486236,23.45898,,0.7504,0.006413579,10.990335,,0.9364,0.0050014257,28.877277,,0.92355,0.04292214,24.657236,,0.81035,0.03539121,9.594477,,0.85465,0.028416872,1.7252412,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/28,28
6,slcp,377963123,CNRE,9,9,10,0.1,0,False,50,2,4.9877853,15.385370890299479,0.89235,0.02605784,20.099144,,0.82935,0.03584802,23.325214,,0.7466,0.01219964,26.563084,,0.92135,0.055865884,3.1657143,,0.70455,0.0026928186,24.71315,,0.7865,0.022826672,11.523317,,0.9244,0.018466353,30.115566,,0.9022,0.020323277,25.108791,,0.81845,0.040897727,10.184895,,0.8363,0.089342594,1.9700147,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/9,9
7,slcp,2760683139,CNRE,9,9,10,0.01,0,False,50,2,4.8015823,15.727391560872396,0.883,0.027409673,19.551102,,0.79725,0.015697718,22.741577,,0.7162,0.0031340122,26.877266,,0.92275,0.094897866,3.0006702,,0.8405,0.023268104,21.982231,,0.76655,0.012482166,11.469427,,0.94145,0.0312593,29.643955,,0.8962,0.022197366,24.20449,,0.8186,0.020858765,10.288796,,0.8197,0.046461403,2.1453218,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/10,10
8,slcp,2144853337,CNRE,1,1,2,10.0,0,False,50,2,4.87362,31.99105021158854,0.90455,0.027838588,19.19505,,0.92135,0.039807677,21.989305,,0.86355,0.06757951,26.548624,,0.9564,0.23817462,3.32864,,0.8737,0.03493154,21.514406,,0.8605,0.057004333,10.978994,,0.96655,0.019257784,29.15956,,0.9622,0.030433297,23.064758,,0.86405,0.07057595,11.623152,,0.9423,0.16628575,1.928544,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/1,1
9,slcp,3059608963,CNRE,199,199,200,100.0,0,False,50,2,6.1077366,45.49910888671875,0.8994,0.052674294,19.41566,,0.7976,0.012367606,23.074638,,0.78635,0.018405318,25.418543,,0.9027,0.029912949,2.6916332,,0.80295,0.035606146,23.85321,,0.76605,0.021147013,10.855433,,0.9382,0.15402281,29.933456,,0.9273,0.14702737,25.599289,,0.80605,0.038724184,10.212212,,0.85645,0.18462646,2.0088513,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/42,42
10,slcp,3030613899,CNRE,199,199,200,0.001,0,False,50,2,4.856799,33.81117350260417,0.88865,0.038268447,19.486332,,0.8249,0.037579536,23.572758,,0.7398,0.008168697,26.3892,,0.92455,0.14339268,3.727058,,0.69755,0.010427117,23.273315,,0.7721,0.0071390867,10.906726,,0.9203,0.008006573,29.523544,,0.90035,0.028469324,24.716576,,0.81485,0.030570984,10.722261,,0.871,0.060873687,1.7273505,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/47,47
11,slcp,3014039228,CNRE,49,49,50,100.0,0,False,50,2,5.383867,43.60887858072917,0.9091,0.040863395,19.167252,,0.7892,0.017412424,21.767424,,0.75045,0.009913683,27.166782,,0.9141,0.027102232,3.467597,,0.80515,0.0078959465,23.26215,,0.80185,0.01525712,11.442194,,0.97785,0.033614993,30.17667,,0.90115,0.010522604,24.45108,,0.7683,0.024451017,10.9009495,,0.84835,0.05725479,2.0415936,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/18,18
12,slcp,34194811,CNRE,49,49,50,0.1,0,False,50,2,4.5777173,19.587630208333334,0.8754,0.018941045,19.563572,,0.8326,0.042101264,23.007242,,0.8114,0.008278489,26.462591,,0.91805,0.05698037,3.3246217,,0.83385,0.039470673,24.08226,,0.78035,0.017365336,11.393296,,0.93145,0.014184356,29.453846,,0.8616,0.019695401,25.015862,,0.80355,0.019114614,9.93429,,0.847,0.075662255,1.8014286,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/21,21
13,slcp,2211634036,CNRE,74,74,75,100.0,0,False,50,2,5.1558247,83.83482259114584,0.879,0.024233937,19.880417,,0.79775,0.02795732,22.91227,,0.76755,0.023832083,25.985754,,0.9241,0.061027527,3.326282,,0.79525,0.01893866,25.661983,,0.79085,0.023046613,11.052211,,0.95885,0.099069476,30.07519,,0.90315,0.009188652,24.212246,,0.7546,0.022588134,10.529748,,0.83495,0.13677013,2.3064651,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/24,24
14,slcp,66476372,CNRE,24,24,25,0.001,0,False,50,2,4.877834,16.22138671875,0.8575,0.026288033,19.810509,,0.8248,0.056201816,22.911045,,0.85335,0.0326159,25.833576,,0.9151,0.055332422,3.4315827,,0.7367,0.0075353384,24.176434,,0.7796,0.010272622,10.97752,,0.93255,0.058871984,29.72599,,0.90285,0.01074934,24.713123,,0.77775,0.01786828,9.496906,,0.85835,0.08722168,1.7891986,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/17,17
15,slcp,1028262736,CNRE,1,1,2,0.01,0,False,50,2,4.8508496,14.686513264973959,0.8952,0.021570683,20.20951,,0.79265,0.008739948,22.57626,,0.75425,0.021443963,26.873093,,0.90615,0.06104642,4.1142445,,0.7896,0.007756591,23.271416,,0.8068,0.0142480135,11.239269,,0.9516,0.025642872,29.735634,,0.9551,0.0127260685,24.649864,,0.80525,0.015811682,10.042229,,0.9206,0.07252753,1.5051055,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/4,4
16,slcp,1967275185,CNRE,1,1,2,100.0,0,False,50,2,3.3442001,13.792992146809896,0.95965,0.050626278,20.931717,,0.94125,0.18019629,25.029919,,0.88825,0.06784189,24.780897,,0.9538,0.114816606,4.060113,,0.8781,0.013587594,22.968937,,0.89725,0.052227855,10.321051,,0.9851,0.072983265,29.00542,,0.9457,0.043563366,26.028082,,0.9388,0.1699487,11.160101,,0.9314,0.15039706,3.8691568,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/0,0
17,slcp,3614812908,CNRE,49,49,50,0.001,0,False,50,2,4.8317175,18.86012980143229,0.8756,0.023591638,20.010345,,0.8064,0.022850394,22.725624,,0.78175,0.016332626,27.331566,,0.91995,0.08437145,3.4153562,,0.78145,0.017178416,23.22477,,0.7513,0.007102728,11.50716,,0.91735,0.005687237,29.579185,,0.89535,0.03782904,24.284924,,0.79875,0.029133916,10.231199,,0.8818,0.096105695,1.7466682,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-27/18-03-18/23,23
