,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,1439124349,NRE-B,100,100,100,,False,128,3,6.025035,57.923160807291666,0.9428,0.07539725,20.424616,,0.9094,0.029595017,23.123789,,0.87755,0.05243087,26.443136,,0.9485,0.11743617,2.9277058,,0.85345,0.03438866,24.566525,,0.8269,0.006890774,11.386772,,0.9705,0.19873834,29.332108,,0.94,0.090144515,23.77428,,0.8445,0.010745406,9.658177,,0.96185,0.2319544,1.4116551,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/5,5,
1,slcp,4144649394,NRE-B,10,10,10,,False,128,3,-124.02362,39.238810221354164,0.94775,0.059518814,19.275768,,0.91065,0.22670293,23.048443,,0.9196,0.13522184,25.545338,,0.9532,0.23464686,2.9329681,,0.93805,0.15543747,24.073376,,0.8807,0.03977382,10.558732,,0.9661,0.09125531,30.439724,,0.9278,0.14693451,23.09249,,0.8898,0.13314843,9.136116,,0.95505,0.19036192,1.4911882,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/1,1,
2,slcp,448487217,NRE-B,75,75,75,,False,128,3,10.691355,95.57957356770834,0.9689,0.19186342,18.570951,,0.92165,0.17428184,23.152866,,0.92905,0.06621909,28.223278,,0.94065,0.08965576,2.875187,,0.9301,0.28231215,27.05088,,0.864,0.09051752,13.29427,,0.97965,0.25521696,28.477283,,0.96,0.08378768,23.526543,,0.8804,0.06989324,9.888889,,0.9261,0.08248216,1.7242061,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/4,4,
3,slcp,1153447937,NRE-B,2,2,2,,False,128,3,-106.49019,27.492230224609376,0.9401,0.026528,20.39486,,0.87505,0.055602312,23.324112,,0.78145,0.06057,25.627499,,0.92175,0.06948829,3.5817223,,0.8427,0.10776496,23.090275,,0.78955,0.0049841404,10.848791,,0.95785,0.1408869,29.665478,,0.94605,0.06442118,25.332193,,0.81825,0.020522475,10.202002,,0.9069,0.11680794,1.8815242,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/0,0,
4,slcp,2088804481,NRE-B,200,200,200,,False,128,3,9.231542,89.7205322265625,0.92665,0.09777999,19.99194,,0.91155,0.04364884,22.723274,,0.8567,0.08345926,25.395409,,0.9645,0.33411032,3.219298,,0.89295,0.12220454,21.75758,,0.8469,0.008072376,10.783207,,0.9783,0.11143911,29.911022,,0.94435,0.064546466,23.632034,,0.88655,0.055187464,9.894724,,0.92395,0.07116008,1.5877268,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/7,7,
5,slcp,462072168,NRE-B,50,50,50,,False,128,3,13.453249,35.60517985026042,0.94885,0.08978486,19.966911,,0.93985,0.123728156,22.195202,,0.8638,0.028336287,26.152023,,0.95845,0.13172507,3.6253467,,0.9471,0.22612059,21.625721,,0.8462,0.021516442,11.942954,,0.96625,0.19234896,29.637379,,0.9429,0.214046,24.563112,,0.88725,0.06527841,8.850085,,0.8693,0.041123748,2.1998172,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/3,3,
6,slcp,2266536374,NRE-B,150,150,150,,False,128,3,5.9522886,77.0559814453125,0.9604,0.03513038,19.042133,,0.93535,0.22037423,22.523933,,0.94995,0.061846495,24.037498,,0.94585,0.20586056,2.7150016,,0.95675,0.09647226,24.265474,,0.83285,0.014280319,10.45981,,0.9774,0.025490046,29.270388,,0.9419,0.068992496,24.312943,,0.869,0.06331909,9.101759,,0.9559,0.13786209,1.9232817,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/6,6,
7,slcp,800527029,NRE-B,25,25,25,,False,128,3,-62.44857,62.482112630208334,0.95265,0.22429895,20.826412,,0.88385,0.062259316,22.59446,,0.92515,0.24177861,25.812904,,0.95425,0.14046454,3.0713034,,0.97135,0.33761168,27.270393,,0.9073,0.19676328,10.313984,,0.97795,0.21514082,30.208748,,0.93725,0.06500161,23.375885,,0.8662,0.07072163,9.386293,,0.96465,0.43942112,1.3197836,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-09/2,2,
8,slcp,3323087663,CNRE,24,24,25,0.1,0,128,3,4.602872,25.55142822265625,0.8647,0.011900425,19.817959,,0.80135,0.01019156,22.857433,,0.75395,0.017455697,27.490452,,0.91795,0.080887735,3.3927631,,0.73935,0.019266248,23.930222,,0.72025,0.0041840076,11.613169,,0.92305,0.06626117,29.150032,,0.87655,0.0053845644,24.88041,,0.7628,0.020541787,10.235709,,0.8603,0.047631502,1.9183334,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/15,15,False
9,slcp,874484611,CNRE,99,99,100,1.0,0,128,3,5.451024,52.10665283203125,0.88425,0.018060565,19.43332,,0.84725,0.019874454,23.347488,,0.7927,0.016388178,25.298424,,0.9408,0.045607805,3.6939616,,0.71495,0.0029529333,24.399345,,0.75105,0.0029916763,11.524916,,0.94865,0.03230536,29.68704,,0.9291,0.0082246065,24.602776,,0.8,0.00887692,9.898756,,0.8883,0.07195914,1.9934447,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/32,32,False
10,slcp,1648172954,CNRE,99,99,100,0.001,0,128,3,4.877137,53.61800944010417,0.8825,0.02771902,19.749542,,0.8192,0.043618083,23.26622,,0.71995,0.00464046,26.66946,,0.92265,0.09325516,3.0835586,,0.6928,0.0034650564,24.799528,,0.7072,0.009693265,11.614851,,0.90185,0.03846848,29.700089,,0.88385,0.057022452,24.762505,,0.7374,0.009544969,9.919376,,0.87475,0.0829978,1.7235293,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/35,35,False
11,slcp,2272564392,CNRE,1,1,2,0.001,0,128,3,5.0085897,19.2693603515625,0.9066,0.018740535,19.284864,,0.83,0.038466334,22.90839,,0.87515,0.017227054,26.1506,,0.91355,0.12116337,3.3479407,,0.6955,0.012740731,23.338291,,0.7576,0.007065773,11.054161,,0.9639,0.018196225,29.19284,,0.89515,0.044177055,24.8111,,0.73125,0.021745086,10.633433,,0.87445,0.032465816,1.7750219,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/5,5,False
