,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,lotka_volterra,960951598,CNRE,99,99,100,1.0,0,False,128,3,10.270556,123.32379557291667,0.9955,0.54404974,11.28261,,0.97535,0.4073071,16.553925,,0.94685,0.27167845,17.997337,,0.9992,0.693884,312.82352,,0.9552,0.2695212,15.820497,,0.9898,0.5577527,31.77253,,0.98185,0.42880246,26.153042,,0.962,0.2951225,22.148039,,0.9337,0.21927863,37.06163,,0.95565,0.35004133,29.014172,,,100000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/5,5
1,lotka_volterra,2738266988,CNRE,99,99,100,1.0,0,False,128,3,3.6609077,39.72522786458333,0.9995,0.5530688,50.780014,,0.9988,0.54090774,41.004944,,0.99645,0.53879863,23.120512,,0.9997,0.5603613,633.2096,,0.99835,0.5350961,54.396698,,0.99955,0.56011796,88.30778,,0.9996,0.6323123,45.59053,,0.993,0.49835145,45.062294,,0.99705,0.51135844,88.89586,,0.9977,0.5036555,119.05491,,,1000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/9,9
2,lotka_volterra,2227534949,CNRE,99,99,100,1.0,0,False,128,3,9.394778,46.392415364583336,0.99515,0.5096669,12.374174,,0.9922,0.473213,20.079052,,0.96345,0.18538833,16.127817,,0.9997,0.60123515,425.56183,,0.957,0.28088942,20.545307,,0.9892,0.49177194,32.422363,,0.9855,0.40533048,22.88389,,0.9562,0.29114857,23.01633,,0.99135,0.5911308,46.774513,,0.99585,0.46964085,52.86123,,,10000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/10,10
3,lotka_volterra,2256148287,CNRE,99,99,100,1.0,0,False,128,3,8.819264,46.03414713541667,0.9954,0.4916653,12.362377,,0.99435,0.47503102,24.095627,,0.98385,0.2792479,18.682167,,0.99875,0.6248205,429.9345,,0.9624,0.3443639,18.109982,,0.99245,0.4865234,31.605244,,0.9841,0.5449423,21.73539,,0.98505,0.46473017,25.572582,,0.97145,0.36275393,42.995167,,0.99205,0.44411117,36.822464,,,10000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/1,1
4,lotka_volterra,3549010460,CNRE,99,99,100,1.0,0,False,128,3,9.162837,46.538639322916666,0.9967,0.53819,12.823557,,0.98535,0.42117906,16.732277,,0.9534,0.30770725,18.05342,,0.99455,0.3870672,320.8147,,0.97165,0.3787108,16.897518,,0.99485,0.48542732,40.314938,,0.99375,0.666461,25.664024,,0.9738,0.36652127,23.021492,,0.987,0.31467018,44.592926,,0.9866,0.44913387,39.34472,,,10000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/4,4
5,lotka_volterra,3527059120,CNRE,99,99,100,1.0,0,False,128,3,4.4121256,39.65213216145833,0.99935,0.54390365,44.12047,,0.99905,0.55204195,38.911987,,0.9991,0.5162243,44.79295,,0.99935,0.5446832,609.0753,,0.9965,0.50581145,40.32141,,0.9996,0.55364966,86.53238,,0.9997,0.63217306,35.402416,,0.9934,0.4884066,54.32978,,0.99705,0.5130765,111.07285,,0.9988,0.5321755,153.82416,,,1000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/0,0
6,lotka_volterra,355950117,CNRE,99,99,100,1.0,0,False,128,3,10.640793,124.34580891927084,0.99155,0.503003,12.116994,,0.98235,0.42504638,16.400673,,0.9826,0.39575037,18.224789,,0.99185,0.4364802,306.4732,,0.95915,0.3655657,16.945078,,0.9754,0.46337053,26.576208,,0.96075,0.49428385,23.487904,,0.9937,0.24206293,29.07248,,0.9373,0.22935563,37.700058,,0.93995,0.17805648,29.778332,,,100000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/11,11
7,lotka_volterra,504242527,CNRE,99,99,100,1.0,0,False,128,3,8.772986,46.488423665364586,0.99525,0.5395211,10.113685,,0.98775,0.46834922,16.756294,,0.95075,0.28023112,18.111465,,0.9995,0.6254923,358.80716,,0.98795,0.41888434,18.207767,,0.9951,0.53668725,33.34119,,0.98705,0.6215973,24.379234,,0.9444,0.34013355,23.198149,,0.9876,0.45411688,42.03808,,0.98935,0.44231138,37.72648,,,10000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/7,7
8,lotka_volterra,1426866341,CNRE,99,99,100,1.0,0,False,128,3,4.806751,39.75596516927083,0.99935,0.5520949,23.725693,,0.9991,0.5411469,39.487473,,0.9984,0.5692901,26.719715,,0.9997,0.5533611,586.6728,,0.9993,0.5558457,56.769535,,0.99965,0.5604366,70.58722,,0.99975,0.6288364,49.29796,,0.991,0.4652967,51.804646,,0.9988,0.55360055,96.75231,,0.99815,0.50630814,161.99298,,,1000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/3,3
9,lotka_volterra,1295072555,CNRE,99,99,100,1.0,0,False,128,3,10.058825,122.89456380208334,0.98405,0.39151546,9.010589,,0.9855,0.47832102,16.237415,,0.9497,0.1532203,17.202724,,0.9945,0.41846082,315.10513,,0.94905,0.33048484,16.75355,,0.9939,0.5174439,40.09703,,0.9662,0.51015455,21.451387,,0.98965,0.31929338,21.66769,,0.95535,0.2600482,41.71486,,0.99055,0.60029805,29.921394,,,100000.0,/home/ben/sci/fix-cnre/infinite/sbibm/2024-07-01/07-31-27/8,8
