,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,3452559547,NRE-B,200,200,200,,False,50,2,90.51701,46.326411946614584,0.9116,0.039682746,19.59639,,0.90715,0.08397257,23.032196,,0.86175,0.08927858,25.386993,,0.9236,0.07305765,3.1080875,,0.81015,0.021975994,23.606983,,0.77635,0.007318139,11.107259,,0.95885,0.036024332,30.133,,0.947,0.011378884,24.636583,,0.85405,0.03944707,9.843142,,0.90125,0.15389729,1.6614478,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/15,15,
1,two_moons,2506946343,NRE-B,100,100,100,,False,50,2,51.156143,13.589325968424479,0.53185,0.0011628866,0.08960075,,0.52805,0.0010957718,0.08898756,,0.5786,0.0011806488,0.08914961,,0.54725,0.0054246783,0.0903869,,0.50645,-3.874302e-05,0.09182509,,0.55195,0.0011380911,0.09175742,,0.63185,0.0014569759,0.09106192,,0.60575,0.0015138388,0.09070933,,0.5172,0.00023639202,0.09116166,,0.60565,0.0023032427,0.08755736,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/5,5,
2,gaussian_mixture,2150285529,NRE-B,150,150,150,,False,50,2,-40.887466,18.687957763671875,0.724,0.06843197,0.8478006,,0.6989,0.06762278,0.32086545,,0.72065,0.0735513,0.6233386,,0.7093,0.07242322,0.61470103,,0.6991,0.06748569,0.610355,,0.726,0.0768801,0.19482704,,0.7162,0.07333422,0.39043573,,0.71265,0.074519515,0.6079558,,0.724,0.07713139,0.19584253,,0.7002,0.053061843,0.63639545,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/22,22,
3,slcp,4170391141,NRE-B,10,10,10,,False,50,2,-51.371765,25.169769287109375,0.92885,0.033300877,20.337517,,0.8238,0.018436432,22.204603,,0.9279,0.11280918,24.883305,,0.93005,0.16446108,3.3070917,,0.87695,0.13417125,22.997334,,0.8133,0.017205477,11.040034,,0.9546,0.19187248,30.03901,,0.91775,0.053360462,24.068935,,0.84405,0.030948043,9.438078,,0.91305,0.078071,1.8416796,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/9,9,
4,slcp,1472090701,NRE-B,25,25,25,,False,50,2,54.332386,19.98249715169271,0.9019,0.110388994,19.842731,,0.89305,0.19679129,23.586887,,0.83745,0.10773361,25.275677,,0.93235,0.16248292,3.0643861,,0.88125,0.093428135,21.764744,,0.8432,0.07878876,10.328217,,0.9648,0.21190798,29.197844,,0.9411,0.07520735,25.717943,,0.82675,0.029681683,9.632595,,0.8955,0.04835975,1.8458843,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/10,10,
5,two_moons,1791939608,NRE-B,10,10,10,,False,50,2,-77.28429,9.598942057291667,0.5346,0.00033903122,0.08754845,,0.544,0.0030822754,0.08906719,,0.6186,0.0006840229,0.088389136,,0.52105,0.0007417202,0.091349244,,0.6197,0.0018800497,0.091066085,,0.63395,0.00022780895,0.09281464,,0.64545,0.0030094385,0.092588514,,0.62245,0.0019055605,0.09115242,,0.61845,0.0041084886,0.08989939,,0.64025,0.0043002367,0.08763575,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/1,1,
6,gaussian_mixture,1798623530,NRE-B,25,25,25,,False,50,2,-45.836494,13.064818318684896,0.7722,0.041691065,0.8320012,,0.7367,0.06892359,0.9721489,,0.71685,0.073488235,0.8199084,,0.71935,0.07370627,0.2975182,,0.72045,0.06180513,0.3183244,,0.721,0.07386601,0.61199355,,0.7168,0.072279334,0.61641204,,0.71755,0.06751275,0.42290318,,0.73665,0.07694638,0.3171114,,0.76815,0.05911684,0.46488416,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/18,18,
7,gaussian_mixture,1923524166,NRE-B,100,100,100,,False,50,2,19.713264,494.53089192708336,0.7759,0.18269336,1.395995,,0.74835,0.09083307,1.1021314,,0.7396,0.099763274,1.5436207,,0.9866,0.5863889,7.8100395,,0.75235,0.10146147,1.2421608,,0.7368,0.082973,1.4079701,,0.73535,0.07385123,1.3752865,,0.7363,0.07475865,1.4907361,,0.7353,0.08880615,1.3708477,,0.77055,0.16761327,1.2649964,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/21,21,
8,gaussian_mixture,3715866348,NRE-B,10,10,10,,False,50,2,-16.591198,12.667088826497396,0.85445,0.107563734,0.4236697,,0.716,0.07019174,0.39237142,,0.70405,0.07303679,0.29227084,,0.78055,0.07824147,0.42838594,,0.6956,0.056482434,0.29948127,,0.74865,0.076945424,0.41464424,,0.7231,0.07424009,0.28124285,,0.7644,0.07792723,0.63020074,,0.72495,0.0764724,0.3177743,,0.808,0.075398326,1.0602107,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/17,17,
9,two_moons,1058260500,NRE-B,75,75,75,,False,50,2,22.012691,12.388741048177083,0.51155,0.00021660328,0.09056805,,0.53075,0.00093853474,0.090894006,,0.58035,0.0008485317,0.09283521,,0.5758,0.0011581182,0.09028618,,0.5892,0.0011320114,0.09439112,,0.5456,0.0040813684,0.09036675,,0.6176,0.0018165112,0.08935046,,0.5931,0.006300926,0.08850489,,0.54715,0.00058567524,0.09020425,,0.60395,0.0030635595,0.09246083,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-06/4,4,
