,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,980488309,NRE-B,200,200,200,,False,50,2,84.935585,25.236515299479166,0.80295,0.0077507496,19.677612,,0.8121,0.023635387,23.001888,,0.7122,0.019592285,25.533379,,0.91505,0.047775865,3.019229,,0.6892,0.009354949,24.35802,,0.7297,0.003094077,11.334244,,0.8852,0.026753306,29.741266,,0.8579,0.03366828,24.299133,,0.74465,0.007186532,9.08641,,0.8235,0.042111993,2.0189295,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/15,15,
1,two_moons,2456924169,NRE-B,100,100,100,,False,50,2,22.707172,7.861878967285156,0.54475,0.007005334,0.08922337,,0.5032,0.00037157536,0.08998975,,0.57845,0.0007160902,0.08918141,,0.5166,0.002255261,0.09129326,,0.53375,0.0028618574,0.09259042,,0.5126,0.0005067587,0.088520005,,0.6034,0.00029587746,0.09097043,,0.5778,0.0010796785,0.092302844,,0.5207,0.003150165,0.09073561,,0.58885,0.0022292137,0.09345667,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/5,5,
2,gaussian_mixture,4264851724,NRE-B,150,150,150,,False,50,2,25.702301,11.086097208658854,0.7051,0.023429155,0.82591045,,0.67625,0.0017402172,0.9925202,,0.65625,0.0022768974,0.9750611,,0.6781,0.0018321276,0.91937286,,0.70215,0.011677384,0.81605995,,0.65295,0.0022126436,0.9910934,,0.65755,0.004817724,1.1454637,,0.67025,0.007959485,1.0657288,,0.6469,0.0009742975,0.71174777,,0.69175,0.01066649,0.74587,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/22,22,
3,slcp,2733803972,NRE-B,10,10,10,,False,50,2,-34.629105,19.963810221354166,0.90985,0.060736895,20.356144,,0.79075,0.029338956,22.416756,,0.7695,0.029952168,26.52483,,0.9374,0.040754437,3.404677,,0.81905,0.03831649,21.931791,,0.76095,0.008761525,11.397084,,0.9477,0.006320715,29.70188,,0.9567,0.013576746,23.438206,,0.77515,0.005264163,9.184124,,0.8774,0.1258241,2.0297663,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/9,9,
4,slcp,3120623302,NRE-B,25,25,25,,False,50,2,24.02646,14.651504516601562,0.8736,0.031192422,19.710016,,0.79575,0.017920613,23.33877,,0.7112,0.015123725,26.493,,0.88935,0.036774635,3.6231775,,0.87225,0.035919785,23.341808,,0.7416,0.009092808,11.646865,,0.94555,0.022956848,29.960114,,0.90685,0.0090664625,24.229279,,0.75845,0.016122818,9.024677,,0.8768,0.12686008,1.861489,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/10,10,
5,two_moons,2407963323,NRE-B,10,10,10,,False,50,2,-50.451912,3.663659922281901,0.55105,0.001930356,0.09061715,,0.5868,0.0016171932,0.09198895,,0.64015,0.00077176094,0.090405166,,0.59785,0.0012956858,0.09054394,,0.6537,0.00059854984,0.09797335,,0.52875,0.0023207664,0.09002514,,0.6444,0.0019558668,0.08895537,,0.631,0.00060224533,0.089319065,,0.58885,0.0034076571,0.090494454,,0.6526,0.007605076,0.09137454,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/1,1,
6,gaussian_mixture,591836892,NRE-B,25,25,25,,False,50,2,15.391998,4.184632110595703,0.70555,0.011023641,0.6265202,,0.66255,0.0024280548,1.0647528,,0.654,0.0017647743,0.8876561,,0.6954,0.010758519,0.7401682,,0.68735,0.0052042007,0.7908067,,0.6615,0.004391551,0.7986546,,0.67,0.012217879,0.47690082,,0.66505,0.008985519,0.92069495,,0.6369,0.0020177364,0.8478408,,0.69955,0.008222461,0.6627173,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/18,18,
7,gaussian_mixture,519346840,NRE-B,100,100,100,,False,50,2,32.787,8.02931620279948,0.707,0.0399794,1.2067904,,0.6808,0.037833273,1.2044079,,0.63635,0.011785269,1.1424478,,0.6619,0.019724846,1.2097523,,0.68355,0.024854958,0.9992379,,0.6547,0.022201777,1.4138424,,0.67505,0.028509974,1.2055972,,0.65635,0.015791893,1.1310974,,0.6445,0.015898108,1.3106551,,0.70225,0.029351115,1.0490718,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/21,21,
8,gaussian_mixture,4269895625,NRE-B,10,10,10,,False,50,2,-3.1875544,3.5061370849609377,0.72465,0.036466837,0.9652715,,0.70245,0.012021899,1.1355597,,0.689,0.005043626,0.98239607,,0.692,0.0051910877,1.0737062,,0.705,0.0145612955,0.98501545,,0.6875,0.0030175447,0.81072307,,0.70465,0.006372452,1.0844128,,0.7025,0.00748837,1.0790932,,0.6882,0.0025840998,1.0515413,,0.72075,0.042188942,0.9558972,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/17,17,
9,two_moons,663713744,NRE-B,75,75,75,,False,50,2,30.38718,6.371551513671875,0.51085,0.0003683567,0.08926707,,0.53455,0.00038409233,0.09050427,,0.56125,0.0009098053,0.09227574,,0.51165,0.0025548935,0.08880688,,0.52965,0.00017368793,0.09371233,,0.514,2.336502e-05,0.09145926,,0.60165,0.0049972534,0.09034798,,0.5859,0.0039812326,0.090486035,,0.54375,0.0011005402,0.09127116,,0.5667,0.0019118786,0.09168998,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-33/4,4,
