,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,2562662983,NRE-B,100,100,100,,False,128,3,10.310457,414.17705078125,0.94475,0.029108286,19.398308,,0.91405,0.18003309,23.656448,,0.8916,0.08948827,26.133293,,0.9479,0.36861598,3.3689876,,0.94995,0.24110389,23.308699,,0.8845,0.0800066,11.215167,,0.9869,0.1258626,29.907698,,0.9569,0.2333138,24.682026,,0.86665,0.02894187,9.230797,,0.9114,0.06194985,1.7114284,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/5,5,
1,slcp,1601931182,NRE-B,5,5,5,,False,128,3,-784.11115,239.964306640625,0.9513,0.10377574,19.475624,,0.91425,0.14149392,22.877245,,0.97975,0.15422082,26.847942,,0.9287,0.19368964,3.3344884,,0.90015,0.06886339,23.060354,,0.8702,0.05333805,10.2392235,,0.96875,0.25309014,28.668365,,0.9429,0.09155357,24.734081,,0.90435,0.20764184,8.969787,,0.9323,0.19785851,1.5111527,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/1,1,
2,slcp,2585779196,NRE-B,50,50,50,,False,128,3,0.074107826,383.64348958333335,0.93225,0.032319188,19.173964,,0.96105,0.2343378,23.187103,,0.9208,0.28004313,26.789963,,0.94195,0.24109256,3.2555208,,0.9305,0.12871337,22.953838,,0.8216,0.013319254,11.322523,,0.962,0.1443901,28.592283,,0.97365,0.27209067,23.172638,,0.89535,0.06613958,9.344128,,0.92555,0.077413976,1.5961452,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/4,4,
3,slcp,3872524852,NRE-B,2,2,2,,False,128,3,-600.24445,213.28938802083334,0.87615,0.014191031,19.137165,,0.87565,0.09430039,22.743176,,0.86305,0.23320162,27.110668,,0.92325,0.09421587,3.2365346,,0.79855,0.035203338,23.839558,,0.8121,0.05656016,10.589749,,0.9376,0.08805573,29.431782,,0.9301,0.038408875,24.759405,,0.85305,0.081480265,8.178871,,0.8658,0.053882062,1.9727577,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/0,0,
4,slcp,1115871939,NRE-B,25,25,25,,False,128,3,16.120085,262.89357096354166,0.96845,0.10428476,18.947998,,0.8976,0.1099627,22.453106,,0.8846,0.061556816,25.960821,,0.92515,0.09344196,3.055213,,0.9563,0.14014769,25.061321,,0.83475,0.057870507,10.693209,,0.9647,0.042718053,29.160341,,0.9439,0.030022383,25.044073,,0.8777,0.09284747,8.4394245,,0.96235,0.113456905,1.4585183,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/3,3,
5,slcp,3414977694,NRE-B,10,10,10,,False,128,3,-311.69708,225.52991536458333,0.90665,0.046777844,19.564781,,0.94565,0.064967394,21.592735,,0.97125,0.24022484,27.469273,,0.9216,0.12823784,3.1219697,,0.8902,0.04514289,24.503433,,0.83785,0.056678534,10.783785,,0.97125,0.27915537,31.074093,,0.9556,0.2119559,26.461758,,0.8802,0.13503587,10.677397,,0.93175,0.08312178,1.335782,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/16-16-14/2,2,
6,slcp,1487320004,CNRE,9,9,10,0.1,0,128,3,6.6764956,210.51433919270832,0.91,0.036869764,20.232513,,0.85825,0.01663518,23.052464,,0.8161,0.017038107,25.685108,,0.9263,0.08747548,3.4311113,,0.84955,0.02979803,22.841656,,0.764,0.008436918,11.419348,,0.9779,0.035129547,29.488548,,0.92535,0.08035433,24.78387,,0.7969,0.02428639,9.878354,,0.84725,0.050436974,1.9236271,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/15,15,False
7,slcp,3963918743,CNRE,99,99,100,1.0,0,128,3,9.309105,602.6081380208333,0.9533,0.18228579,19.880653,,0.8817,0.14965272,22.470497,,0.91885,0.24931645,26.998032,,0.92145,0.09911418,2.9192379,,0.8555,0.10083997,24.465015,,0.87175,0.050374866,10.155874,,0.992,0.45503664,28.503372,,0.9407,0.18531609,24.104939,,0.84085,0.06578386,9.052101,,0.92635,0.14044738,1.6182361,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/32,32,False
8,slcp,883569329,CNRE,99,99,100,0.001,0,128,3,8.517005,577.6182291666667,0.8462,0.02656734,20.334026,,0.75135,0.016364813,22.608744,,0.8163,0.012323499,26.540329,,0.9067,0.07208836,3.2178347,,0.76995,0.039995313,22.480888,,0.73095,0.0036854744,10.809395,,0.9039,0.09138167,29.922527,,0.8785,0.007846117,25.250149,,0.76855,0.012836099,9.323055,,0.72315,0.02336669,2.1160014,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/35,35,False
9,slcp,4010627763,CNRE,1,1,2,0.001,0,128,3,5.185802,196.974365234375,0.8514,0.020159245,19.721523,,0.7601,0.01891172,22.508041,,0.70905,0.0060094595,26.394009,,0.91965,0.053570032,3.4836335,,0.76095,0.021448612,23.572765,,0.773,0.010828018,11.867453,,0.928,0.012591958,28.991718,,0.88885,0.007516861,24.439121,,0.73205,0.010042071,10.009209,,0.75365,0.012027979,2.3411908,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/5,5,False
10,slcp,2560684839,CNRE,24,24,25,0.01,0,128,3,7.4576817,269.22364908854166,0.8661,0.038792968,19.676756,,0.8269,0.045556545,23.087105,,0.7213,0.0040010214,26.441004,,0.91115,0.066962,3.5335517,,0.8118,0.02935481,23.241364,,0.74505,0.015214562,11.082611,,0.91055,0.011308908,29.121296,,0.89245,0.04132402,24.511387,,0.7819,0.038227677,9.467026,,0.8215,0.04995942,2.1011233,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/22,22,False
