,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,slcp,2643130715,CNRE,24,24,25,0.1,0,False,128,3,7.9513235,12.900100708007812,0.9072,0.029141665,19.902765,,0.85715,0.08046448,23.121195,,0.7532,0.026383758,26.339521,,0.9416,0.035899997,3.1077185,,0.8168,0.059726834,22.806038,,0.7867,0.014749527,11.820364,,0.966,0.06947756,29.366554,,0.9381,0.06659901,24.310122,,0.83285,0.017987609,10.162548,,0.86085,0.062793076,2.1675572,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/15,15
1,slcp,1351920641,CNRE,99,99,100,1.0,0,False,128,3,9.521157,22.244866943359376,0.9052,0.007159114,19.37677,,0.866,0.011078477,21.99689,,0.80245,0.07174063,25.986992,,0.9258,0.03628099,3.1145852,,0.8426,0.12976706,22.032913,,0.7904,0.023821354,11.132253,,0.94725,0.024713755,29.89576,,0.9235,0.13683176,24.977158,,0.8339,0.045307994,9.758358,,0.9181,0.06964731,1.798734,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/32,32
2,slcp,400336929,CNRE,99,99,100,0.001,0,False,128,3,9.546234,21.887339274088543,0.84375,0.0073640347,19.619957,,0.81585,0.011505723,23.38562,,0.79885,0.050718427,26.114828,,0.9131,0.07649189,3.7138638,,0.80335,0.056500673,23.785702,,0.6937,0.003712654,11.251808,,0.94575,0.006248951,29.40352,,0.9099,0.016052008,25.68605,,0.72525,0.006339669,10.401963,,0.8178,0.03861761,1.945359,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/35,35
3,slcp,1534772215,CNRE,1,1,2,0.001,0,False,128,3,4.9897947,12.020993041992188,0.8978,0.0101207495,19.81987,,0.82595,0.03867817,23.251049,,0.75885,0.009469748,26.215046,,0.93375,0.120506406,2.9655352,,0.7299,0.014327645,23.65307,,0.74355,0.0038158894,11.099543,,0.92985,0.016513705,29.274294,,0.90975,0.02047038,25.069826,,0.7962,0.022406816,9.953966,,0.84835,0.030810595,1.8788456,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/5,5
4,slcp,2185050572,CNRE,49,49,50,0.01,0,False,128,3,8.971842,16.11189168294271,0.87295,0.06955719,19.550037,,0.8186,0.036363006,22.6884,,0.7763,0.055697203,26.288475,,0.91155,0.059578896,3.1353288,,0.80275,0.023364067,23.181992,,0.75445,0.0051902533,11.562735,,0.95785,0.04025781,29.76261,,0.9238,0.028143525,24.479557,,0.80715,0.020165563,10.31012,,0.8377,0.045883894,1.8193663,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/22,22
5,slcp,862392115,CNRE,74,74,75,0.01,0,False,128,3,8.343155,21.991621907552084,0.88945,0.032081127,19.692667,,0.87545,0.07701063,23.977196,,0.8095,0.096778154,25.273823,,0.9364,0.11953813,2.842714,,0.777,0.032606244,24.401152,,0.75455,0.002953887,10.873606,,0.9328,0.05339241,29.355011,,0.9475,0.04887736,25.490162,,0.76825,0.011963248,9.887024,,0.89095,0.08031666,1.6524444,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/28,28
6,slcp,1955501627,CNRE,9,9,10,0.1,0,False,128,3,6.376755,12.521299235026042,0.90345,0.055399776,19.50613,,0.8462,0.024320245,23.557377,,0.80305,0.07927692,25.420025,,0.93045,0.05375004,3.4094872,,0.74295,0.019066572,23.772388,,0.7708,0.011386156,11.739386,,0.93805,0.03616512,29.631683,,0.9034,0.048271537,24.84968,,0.78345,0.021248817,9.9519615,,0.90345,0.07867408,1.7314453,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/9,9
7,slcp,533059144,CNRE,9,9,10,0.01,0,False,128,3,7.1613793,12.681471761067709,0.8722,0.01467514,19.598415,,0.8286,0.051291108,22.688324,,0.74245,0.013142467,26.982594,,0.9088,0.10879552,3.5544157,,0.6935,0.010150909,23.712997,,0.7071,0.001740098,11.032801,,0.927,0.047581553,29.681152,,0.89545,0.04305017,25.024082,,0.77135,0.025346994,9.586565,,0.7708,0.020753622,1.9918959,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/10,10
8,slcp,688814675,CNRE,1,1,2,10.0,0,False,128,3,2.972866,11.038359578450521,0.9529,0.052927136,18.72771,,0.92305,0.07676232,22.659073,,0.8488,0.04195106,26.21769,,0.9715,0.14668858,4.967115,,0.81,0.031047821,23.122272,,0.8871,0.031985044,11.15554,,0.97785,0.043636322,29.24015,,0.95695,0.033822298,24.28736,,0.8946,0.050825,10.16332,,0.92375,0.10628027,2.9413207,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/1,1
9,slcp,3637860118,CNRE,199,199,200,100.0,0,False,128,3,11.935238,32.65620727539063,0.9592,0.022976518,19.13507,,0.87965,0.021423578,23.96757,,0.8234,0.11122656,26.880554,,0.95325,0.32559568,3.1568854,,0.8635,0.21509957,24.79823,,0.8056,0.05216527,11.068214,,0.96075,0.09719753,30.388035,,0.96275,0.12100446,24.57623,,0.8545,0.1061126,9.262743,,0.88745,0.14672107,2.0569925,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/42,42
10,slcp,1556009422,CNRE,199,199,200,0.001,0,False,128,3,9.476598,32.824519856770834,0.87315,0.018722773,19.809275,,0.83235,0.104478,22.98907,,0.7535,0.032696724,27.371408,,0.9125,0.05788362,3.5616598,,0.88255,0.065431595,23.85765,,0.72345,0.0036330223,10.732199,,0.9405,0.018232703,29.535131,,0.90815,0.05649233,24.599337,,0.7972,0.044890285,9.328011,,0.8072,0.041618466,2.3102913,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/47,47
11,slcp,355253061,CNRE,49,49,50,100.0,0,False,128,3,12.257742,19.439943440755208,0.9294,0.031610847,19.662895,,0.9312,0.1909852,23.087555,,0.892,0.08781862,23.098791,,0.9366,0.08131921,3.5315962,,0.84495,0.13428378,24.384167,,0.78195,0.05491793,11.446808,,0.96785,0.033184648,29.85212,,0.9391,0.10158217,23.675068,,0.86285,0.075419664,8.405391,,0.89345,0.06804633,1.8158674,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/18,18
12,slcp,3707873777,CNRE,49,49,50,0.1,0,False,128,3,8.309052,16.602084350585937,0.9167,0.03860545,19.475195,,0.7916,0.022679687,22.854769,,0.76395,0.06820917,25.421936,,0.91495,0.03124547,2.993493,,0.7991,0.037130237,24.085148,,0.7991,0.015475988,10.737323,,0.9599,0.020699263,29.969246,,0.95355,0.1664939,23.640072,,0.81765,0.01903665,9.35847,,0.89615,0.043449998,1.812237,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/21,21
13,slcp,2307334728,CNRE,74,74,75,100.0,0,False,128,3,12.32337,18.878824869791668,0.9106,0.039556146,19.805916,,0.86015,0.080185175,22.465199,,0.7978,0.032875538,25.874989,,0.93315,0.11151779,3.2079282,,0.8208,0.017098308,22.715849,,0.80965,0.06410611,12.085003,,0.983,0.063581586,30.298847,,0.9181,0.0745312,24.134783,,0.835,0.032551765,10.109795,,0.88645,0.062589765,2.5148554,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/24,24
14,slcp,4291313287,CNRE,24,24,25,0.001,0,False,128,3,8.303585,14.569834391276041,0.8815,0.011806011,19.619282,,0.81235,0.029404283,23.284655,,0.83745,0.020384192,24.997057,,0.89765,0.033415556,3.677044,,0.75165,0.016387343,23.424618,,0.755,0.0090510845,10.585922,,0.9373,0.021499038,29.28864,,0.93415,0.005012512,24.915436,,0.7052,0.0024631023,9.865463,,0.8643,0.07847798,1.8400257,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/17,17
15,slcp,160843692,CNRE,1,1,2,0.01,0,False,128,3,4.9023438,12.128853352864583,0.8817,0.033723474,19.88475,,0.7623,0.0051921606,22.528889,,0.7412,0.003137827,26.754732,,0.92315,0.16025639,2.97759,,0.68215,0.009527087,23.82074,,0.75205,0.0071359873,11.716692,,0.93875,0.0045450926,29.481943,,0.9108,0.0135781765,24.506332,,0.7307,0.0021657944,9.441808,,0.81975,0.06886196,2.0699449,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/4,4
16,slcp,3558896479,CNRE,1,1,2,100.0,0,False,128,3,1.3683097,11.422477213541667,0.9707,0.13031387,19.731804,,0.9538,0.10240018,22.664804,,0.89895,0.024476647,25.099823,,0.97715,0.21729344,8.528217,,0.88355,0.06108141,23.951382,,0.92695,0.1028167,13.077885,,0.9811,0.17686963,29.881306,,0.95875,0.046120763,25.46621,,0.9468,0.059324265,12.317284,,0.95595,0.25284803,8.020464,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/0,0
17,slcp,4203586013,CNRE,49,49,50,0.001,0,False,128,3,8.576142,17.176932779947915,0.83925,0.0069772005,19.857845,,0.7878,0.03497994,22.93227,,0.74205,0.025013566,26.74069,,0.91315,0.1292063,3.33179,,0.7495,0.038864374,23.49263,,0.70075,0.006209135,11.729797,,0.9341,0.07609093,29.382088,,0.8791,0.009926438,23.939352,,0.7987,0.011594176,10.163292,,0.8066,0.066572905,1.9676477,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/23,23
18,slcp,3509464235,CNRE,99,99,100,0.1,0,False,128,3,9.889488,23.749086507161458,0.88975,0.048645616,19.411823,,0.8157,0.0867455,22.762836,,0.848,0.08287001,25.64119,,0.9291,0.055850387,3.6157327,,0.89275,0.14524376,22.100632,,0.79175,0.020037413,10.9665165,,0.97265,0.21721733,30.28987,,0.91755,0.02418673,23.462814,,0.82075,0.0789839,9.536789,,0.89445,0.073443055,1.8310506,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/33,33
19,slcp,692506895,CNRE,24,24,25,10.0,0,False,128,3,8.808544,14.63023681640625,0.91275,0.11438501,19.593311,,0.78345,0.040075302,22.9711,,0.8432,0.082950234,25.107988,,0.92125,0.08268726,3.4005466,,0.85135,0.14784694,22.131098,,0.78755,0.028583169,12.690817,,0.95175,0.08278453,29.509827,,0.92665,0.050103426,23.513649,,0.80065,0.017716885,10.327671,,0.8645,0.053422928,1.9736149,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/13,13
20,slcp,158039702,CNRE,149,149,150,0.1,0,False,128,3,9.296272,27.14530232747396,0.9345,0.040796638,19.719177,,0.84765,0.039857388,22.649845,,0.77795,0.06861067,26.684229,,0.94605,0.041291118,2.9151049,,0.80585,0.023570418,24.513306,,0.8008,0.041520357,11.483147,,0.98135,0.056829453,30.595993,,0.9149,0.01002717,24.877506,,0.82185,0.02532518,10.680353,,0.86265,0.048946857,1.9296868,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/39,39
21,slcp,238712872,CNRE,24,24,25,0.01,0,False,128,3,7.6396637,13.179232788085937,0.89185,0.035549164,19.130896,,0.81575,0.065335035,22.582033,,0.80685,0.041069508,25.262123,,0.9245,0.105054975,3.1508946,,0.7714,0.012414336,23.277477,,0.7678,0.010809302,11.69454,,0.94875,0.042818427,29.522726,,0.9274,0.017269135,24.609982,,0.7894,0.01352787,9.88579,,0.84095,0.061333597,1.8629663,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/16,16
22,slcp,3044058842,CNRE,9,9,10,0.001,0,False,128,3,7.07652,14.245816040039063,0.82855,0.0073348284,19.306192,,0.8499,0.085268974,23.656946,,0.7864,0.0146814585,25.906357,,0.9209,0.057127,2.9250393,,0.72835,0.008108854,24.812492,,0.7178,0.0026624203,10.446293,,0.95825,0.012866378,29.331635,,0.8943,0.017135382,24.527504,,0.7984,0.0233953,10.824715,,0.8039,0.033706307,2.1889942,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/11,11
23,slcp,765272431,CNRE,49,49,50,1.0,0,False,128,3,9.617988,16.780931599934895,0.91135,0.04688406,19.993135,,0.8555,0.082214236,23.116947,,0.78765,0.02404821,25.750372,,0.9462,0.27629024,3.163352,,0.78295,0.055935144,24.085976,,0.82735,0.051383376,12.081359,,0.9668,0.09886587,30.003948,,0.9214,0.13377452,25.386883,,0.8213,0.022009015,9.863933,,0.92835,0.195557,2.2959156,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/20,20
24,slcp,3516335285,CNRE,9,9,10,10.0,0,False,128,3,7.975994,12.538339233398437,0.90855,0.04981208,19.602468,,0.89315,0.10801864,23.859505,,0.8298,0.03668976,25.969942,,0.92405,0.10972059,3.4740975,,0.83205,0.12658405,24.607574,,0.7785,0.010017157,10.880764,,0.9452,0.05255425,29.530846,,0.9154,0.021953583,24.875687,,0.7792,0.012989759,9.67926,,0.91075,0.12627518,1.6942034,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/7,7
25,slcp,2998646063,CNRE,74,74,75,0.1,0,False,128,3,8.355825,18.612481689453126,0.92365,0.100696206,19.45866,,0.8741,0.025824785,23.258224,,0.8118,0.037504673,24.675627,,0.926,0.038535595,3.696765,,0.83415,0.018660426,24.693707,,0.82665,0.06528795,12.915682,,0.9659,0.08767605,29.887026,,0.9573,0.23020625,23.942207,,0.82145,0.040968895,9.676743,,0.90935,0.11872363,2.1183262,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/27,27
26,slcp,3908772357,CNRE,74,74,75,0.001,0,False,128,3,9.058265,19.05903523763021,0.89255,0.05018747,20.21992,,0.87365,0.044266462,23.03933,,0.7496,0.004797697,26.481457,,0.89065,0.031621337,3.2380533,,0.7867,0.017128468,23.894987,,0.7158,0.012527347,10.585943,,0.94275,0.053622723,29.332874,,0.9031,0.013278723,24.76522,,0.7754,0.007858276,9.962706,,0.8223,0.034279585,1.9566834,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/29,29
27,slcp,2679789082,CNRE,1,1,2,0.1,0,False,128,3,4.66833,558.5729817708333,0.8949,0.02381587,19.963352,,0.79925,0.021889567,22.594212,,0.73485,0.015883923,26.95696,,0.9126,0.047813177,3.2767434,,0.7618,0.0047564507,22.997826,,0.75455,0.0065357685,11.12837,,0.95005,0.05793965,29.955364,,0.99125,0.2332983,26.46526,,0.7914,0.017523646,10.5913315,,0.90265,0.08840048,1.6555694,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/3,3
