,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,slcp,594118419,CNRE,1,1,2,10.0,0,False,128,3,3.4615057,12.244265747070312,0.93945,0.037790537,19.535301,,0.9378,0.1185478,23.304008,,0.8615,0.030277371,25.35973,,0.9683,0.14343208,2.8721066,,0.8514,0.014779687,23.097155,,0.8458,0.004288435,11.483122,,0.9725,0.03209412,29.45581,,0.9644,0.030201912,24.47337,,0.894,0.03959894,9.958225,,0.9338,0.07146782,1.776215,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/49,49
1,gaussian_mixture,3724070581,CNRE,9,9,10,10.0,0,False,128,3,5.598937,12.66859842936198,0.7813,0.21704358,1.3565755,,0.7499,0.09250957,1.3488126,,0.7393,0.10010946,1.4421184,,0.7436,0.1129033,1.5142621,,0.75315,0.17162961,1.3559434,,0.73345,0.08234161,1.3602312,,0.735,0.08358675,1.3480616,,0.74995,0.12850195,1.4264579,,0.7345,0.10062069,1.4828572,,0.76515,0.12455958,1.2345771,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/103,103
2,two_moons,3482450658,CNRE,24,24,25,0.1,0,False,128,3,7.7378883,19.224273681640625,0.54555,0.0002169609,0.092369616,,0.5724,0.00091445446,0.091414675,,0.61745,0.0052808523,0.092055276,,0.58105,0.00029420853,0.09287096,,0.67405,0.00014710426,0.09867069,,0.6038,0.0026911497,0.091130644,,0.6487,0.0054317713,0.09334388,,0.648,0.0074186325,0.09454162,,0.5772,0.008289099,0.092476234,,0.6145,0.00039815903,0.08962177,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/15,15
3,gaussian_mixture,2202601676,CNRE,24,24,25,100.0,0,False,128,3,11.97856,19.366691080729165,0.7702,0.17446047,1.2797818,,0.75285,0.10223091,1.3326468,,0.73625,0.07332373,1.288414,,0.7364,0.07865846,1.263015,,0.7486,0.11328769,1.3022945,,0.72835,0.064605474,1.396872,,0.7423,0.108905256,1.5934739,,0.73805,0.075656414,1.1860907,,0.7327,0.08029711,1.3388793,,0.7723,0.16489965,1.2473817,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/108,108
4,gaussian_mixture,3062525506,CNRE,1,1,2,0.001,0,False,128,3,7.611038,13.106782023111979,0.77575,0.035627007,0.46199173,,0.7684,0.06487942,0.3593923,,0.72965,0.07369685,0.6217445,,0.7275,0.06653285,0.83141345,,0.76305,0.04121077,0.8558521,,0.77825,0.082015395,0.62476206,,0.81375,0.09334409,0.39796185,,0.7354,0.06967056,0.44136396,,0.72935,0.07335758,0.42502803,,0.8408,0.13075948,0.70249546,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/101,101
5,gaussian_mixture,2725729974,CNRE,149,149,150,0.01,0,False,128,3,12.13422,72.92063802083334,0.6917,0.06819987,0.6150415,,0.6918,0.07012236,0.28953415,,0.7223,0.07411361,0.31149772,,0.72135,0.0741657,0.8114064,,0.70985,0.06757772,0.4096554,,0.7232,0.07475877,0.38652992,,0.7129,0.07169545,0.31147313,,0.72005,0.07439399,0.61237204,,0.7293,0.076589346,0.8271011,,0.8503,0.17605662,0.5844811,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/136,136
6,two_moons,1591282176,CNRE,99,99,100,1.0,0,False,128,3,9.127799,50.8856201171875,0.5811,0.00048577785,0.0870709,,0.5266,0.00043213367,0.08649558,,0.57505,0.00023019314,0.08850095,,0.58945,0.00093603134,0.08920786,,0.64935,0.010680437,0.08953275,,0.53915,0.0008459091,0.08989574,,0.62595,0.0011007786,0.08833739,,0.61385,0.0009036064,0.08969277,,0.54385,0.0077785254,0.09028563,,0.61065,0.0050103664,0.09053776,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/32,32
7,slcp,640076999,CNRE,49,49,50,0.001,0,False,128,3,8.814635,35.49732259114583,0.84075,0.02372706,19.401176,,0.79825,0.03059876,22.316414,,0.781,0.029378295,26.74309,,0.91125,0.078228414,3.575928,,0.77085,0.058380008,23.361858,,0.7308,0.014855027,10.831812,,0.9304,0.03495741,29.076298,,0.89075,0.0070067644,23.97313,,0.7905,0.010588288,8.736456,,0.815,0.06869066,1.9017041,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/71,71
8,slcp,1287197492,CNRE,99,99,100,0.001,0,False,128,3,9.410789,53.0781494140625,0.8736,0.008608103,19.641872,,0.81595,0.02863121,23.092457,,0.83385,0.057638884,26.428082,,0.91555,0.03842032,3.4420316,,0.8347,0.04158628,23.33834,,0.7198,0.011752367,11.094156,,0.9434,0.11434579,29.772196,,0.9012,0.008964062,24.399157,,0.7314,0.018060565,10.464216,,0.8178,0.014036298,1.9288328,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/83,83
9,slcp,3265555416,CNRE,1,1,2,0.001,0,False,128,3,5.0111704,14.316820271809895,0.85525,0.014522195,19.797874,,0.7953,0.013115168,23.359556,,0.73465,0.011342764,26.549591,,0.9228,0.07343441,3.587008,,0.7608,0.03212154,23.477062,,0.6975,0.0048749447,11.082333,,0.9379,0.041780353,29.965141,,0.90445,0.01739502,24.323412,,0.77145,0.01290977,10.679604,,0.93495,0.15459985,1.5003593,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/53,53
