,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
0,slcp,2373782482,NRE-B,100,100,100,,False,128,3,11.18749,37.09954833984375,0.94815,0.0741837,19.665916,,0.9068,0.10040641,23.536642,,0.89435,0.06311476,26.070385,,0.93805,0.12848842,3.2563415,,0.89215,0.15491211,25.155449,,0.85185,0.041949272,10.889405,,0.96965,0.06848824,30.13305,,0.9539,0.18060625,22.779144,,0.89025,0.019861102,9.8906975,,0.9119,0.09451032,1.8254769,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/5,5,
1,slcp,3922837914,NRE-B,10,10,10,,False,128,3,-498.9408,182.70621744791666,0.94385,0.19300056,20.394716,,0.8942,0.14704001,23.784325,,0.8647,0.073311806,25.750866,,0.9355,0.050227642,3.3054414,,0.88745,0.15198958,24.203625,,0.845,0.064718366,9.91799,,0.9721,0.077940464,29.137009,,0.94975,0.16847467,25.232754,,0.91335,0.25911093,11.036907,,0.97525,0.26066995,1.6600807,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/1,1,
2,slcp,2875468955,NRE-B,75,75,75,,False,128,3,7.634781,69.90418294270833,0.9563,0.06481445,21.156155,,0.931,0.23025835,23.262487,,0.98625,0.28486145,26.766733,,0.95275,0.11406851,3.1057448,,0.93115,0.21450019,27.25063,,0.83065,0.04030001,11.912815,,0.97595,0.21032274,30.091394,,0.96495,0.19687617,24.321264,,0.87025,0.06992638,9.979233,,0.95535,0.121745825,1.6603444,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/4,4,
3,slcp,1101429560,NRE-B,2,2,2,,False,128,3,-182.74164,32.339943440755206,0.94335,0.19280958,19.373684,,0.84975,0.008560777,23.263752,,0.76655,0.080548525,26.471004,,0.92925,0.097004,4.017127,,0.8432,0.01913762,23.313786,,0.7887,0.00830102,10.569161,,0.9541,0.036031723,29.297096,,0.96095,0.030611634,24.55438,,0.80905,0.01979959,11.221409,,0.93325,0.06790602,1.5002464,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/0,0,
4,slcp,1549311303,NRE-B,200,200,200,,False,128,3,9.496654,77.35633951822916,0.9423,0.17351806,19.84971,,0.9116,0.12594187,22.116577,,0.86045,0.09499717,25.315134,,0.9397,0.02536726,2.75356,,0.8876,0.100477576,24.525352,,0.8566,0.034019113,11.450815,,0.9642,0.030272722,29.704176,,0.94665,0.19908977,26.194082,,0.8759,0.04085934,10.3957405,,0.8754,0.038752794,1.9984097,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/7,7,
5,slcp,507899981,NRE-B,50,50,50,,False,128,3,8.517778,62.779500325520836,0.95325,0.13747549,19.3325,,0.9214,0.11140013,23.752285,,0.90095,0.047275305,28.677193,,0.94535,0.030950665,2.9294055,,0.88315,0.18494356,23.64173,,0.8414,0.06093371,11.04509,,0.96995,0.18740916,29.248753,,0.9659,0.0610193,25.392628,,0.91815,0.13270223,8.280833,,0.9399,0.07657361,1.7146434,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/3,3,
6,slcp,4193044418,NRE-B,150,150,150,,False,128,3,-2.4914904,67.94551595052083,0.9506,0.067715526,19.35046,,0.9548,0.15501606,24.155449,,0.8832,0.050143123,26.904982,,0.96265,0.11353874,2.4590507,,0.90005,0.26292837,27.22433,,0.874,0.1090883,10.542726,,0.9766,0.16866016,29.76036,,0.94055,0.21237886,25.668621,,0.8439,0.04332924,10.19388,,0.91845,0.05075741,1.5530205,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/6,6,
7,slcp,1667966459,NRE-B,25,25,25,,False,128,3,-76.13896,117.16014811197917,0.9638,0.16389143,20.031273,,0.8889,0.105214596,22.734371,,0.9079,0.13124692,25.689137,,0.9435,0.14482367,3.2036743,,0.931,0.071549535,24.771595,,0.8668,0.024775147,11.315838,,0.97105,0.108784914,29.714153,,0.9785,0.2721125,23.183907,,0.86785,0.1199255,10.517452,,0.951,0.08894622,1.4693558,,,22528.0,/home/ben/sci/cnre/infinite/sameval/12-00-40/2,2,
8,slcp,590112027,CNRE,24,24,25,0.1,0,128,3,6.3537636,21.6177734375,0.89655,0.057261825,19.303894,,0.8659,0.017724156,23.232525,,0.82715,0.046218157,25.28656,,0.92075,0.030917883,3.5173888,,0.8669,0.038155556,22.428877,,0.8072,0.02556479,11.284459,,0.94955,0.016765952,29.879879,,0.9365,0.027489305,24.755634,,0.7883,0.032829285,11.591483,,0.8091,0.05727291,2.7221808,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/15,15,False
9,slcp,2737565933,CNRE,99,99,100,1.0,0,128,3,8.522706,65.521142578125,0.91635,0.0685997,19.563412,,0.94455,0.15851986,24.00425,,0.92115,0.24708927,24.72092,,0.95655,0.070782065,2.8337748,,0.9631,0.3787403,26.881834,,0.88195,0.12293291,11.362802,,0.9745,0.264081,30.348211,,0.91955,0.07949197,25.193151,,0.84375,0.047606945,9.385107,,0.9153,0.1195389,1.6869211,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/32,32,False
10,slcp,2523194917,CNRE,99,99,100,0.001,0,128,3,9.164874,42.74058837890625,0.8411,0.0077836514,19.119518,,0.78115,0.005394459,22.377214,,0.7853,0.011311054,26.41035,,0.89755,0.053862453,3.2691276,,0.75395,0.020211935,24.519505,,0.7332,0.011259675,11.197977,,0.9302,0.025442243,29.934826,,0.89685,0.14199531,25.453587,,0.75565,0.00640893,9.988018,,0.7708,0.05520594,2.1141596,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/35,35,False
11,slcp,977497389,CNRE,1,1,2,0.001,0,128,3,4.8420453,16.911351521809895,0.8879,0.022369385,19.781145,,0.8328,0.04112053,23.377916,,0.76385,0.025262594,25.685787,,0.91975,0.1354441,3.21933,,0.72825,0.012981772,24.492443,,0.7342,0.010688186,12.025887,,0.9531,0.03140986,30.006935,,0.90585,0.022231579,24.298126,,0.75675,0.013410449,11.2796545,,0.9049,0.05304265,1.8205974,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/5,5,False
12,slcp,929482432,CNRE,49,49,50,0.01,0,128,3,7.3993936,35.05701904296875,0.88115,0.0121593475,19.465382,,0.84465,0.056087136,22.19109,,0.85345,0.090277195,24.884071,,0.89695,0.03865421,3.6812587,,0.8207,0.060285926,23.431038,,0.76405,0.027464628,10.788308,,0.92745,0.09305501,29.719162,,0.9191,0.024197817,25.093058,,0.7962,0.023149729,9.774866,,0.8225,0.06417155,1.8368133,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/22,22,False
13,slcp,807969948,CNRE,74,74,75,0.01,0,128,3,8.157644,34.99677734375,0.8546,0.009973288,19.10625,,0.8623,0.07988608,23.516432,,0.82,0.017827392,26.973131,,0.9152,0.029715061,3.3474774,,0.79485,0.03823614,22.721394,,0.7607,0.007160783,11.695175,,0.9452,0.04710257,28.988443,,0.9186,0.0028266907,24.338722,,0.83305,0.059564948,9.795121,,0.8865,0.027986288,1.6295666,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/28,28,False
14,slcp,2098925406,CNRE,9,9,10,0.1,0,128,3,6.4236774,18.114449055989585,0.9073,0.047673106,19.656544,,0.85535,0.04791355,23.394287,,0.7936,0.06858194,27.23306,,0.92195,0.08224177,3.1027327,,0.8238,0.029270053,22.746859,,0.79375,0.055316925,11.553484,,0.96375,0.04315424,30.281279,,0.9229,0.027681828,24.609726,,0.811,0.030623436,10.6677,,0.8461,0.06064993,1.8831131,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/9,9,False
15,slcp,2456361523,CNRE,9,9,10,0.01,0,128,3,7.0519304,19.76851806640625,0.85055,0.025005102,19.84871,,0.75815,0.017002583,22.86918,,0.7298,0.015621662,26.064777,,0.9078,0.03746903,3.5788972,,0.7386,0.022714853,23.249584,,0.69195,0.009661078,10.862447,,0.9233,0.019943595,29.554276,,0.94945,0.032933712,24.396954,,0.76415,0.021534562,9.187304,,0.8392,0.066051126,2.0044875,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/10,10,False
16,slcp,2479838485,CNRE,1,1,2,10.0,0,128,3,4.375613,16.277367146809897,0.95545,0.06502175,19.90197,,0.88565,0.028053999,23.908678,,0.7951,0.036525488,26.597355,,0.95205,0.16389018,3.5948048,,0.8479,0.08668852,23.810814,,0.82705,0.036242843,12.24729,,0.96235,0.031055808,30.046545,,0.96395,0.12136853,25.749878,,0.84955,0.04768002,10.324882,,0.87715,0.12948889,2.5717142,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/1,1,False
17,slcp,4050852127,CNRE,199,199,200,100.0,0,128,3,15.887336,141.82052408854167,0.9442,0.15198505,18.892277,,0.8889,0.20782709,23.460331,,0.96455,0.2806698,26.024902,,0.94705,0.14757228,2.9062543,,0.9293,0.20724273,22.544048,,0.87825,0.10258281,9.488445,,0.9648,0.25115466,28.0584,,0.97745,0.28897357,27.17975,,0.8677,0.016279817,9.431789,,0.8999,0.084118545,2.0302567,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/42,42,False
18,slcp,2417535211,CNRE,199,199,200,0.001,0,128,3,9.105448,70.68806966145833,0.82145,0.0075511932,19.451847,,0.7951,0.018624783,22.382877,,0.7487,0.040197372,25.835476,,0.90615,0.058894873,3.4439428,,0.7523,0.037130713,24.025442,,0.764,0.008289933,11.133657,,0.92325,0.020404577,28.970135,,0.8711,0.11392319,24.987019,,0.75335,0.01249218,10.121141,,0.78175,0.038559437,2.0740073,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/47,47,False
19,slcp,3923117484,CNRE,49,49,50,100.0,0,128,3,10.16144,77.1363525390625,0.93735,0.14204884,18.875683,,0.926,0.098261476,22.805744,,0.98665,0.27901256,28.53275,,0.9303,0.14382386,2.8606086,,0.9287,0.14871252,23.64046,,0.8427,0.017752528,10.2621,,0.94055,0.1244148,29.321861,,0.97805,0.074697375,26.58181,,0.87945,0.117578626,9.414925,,0.86365,0.021506667,1.5351888,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/18,18,False
20,slcp,1744008108,CNRE,49,49,50,0.1,0,128,3,6.910858,27.961181640625,0.89135,0.064735174,20.136208,,0.8775,0.06566501,23.399118,,0.909,0.16956007,26.731113,,0.92575,0.07627642,3.1363485,,0.7734,0.033273697,25.81931,,0.85355,0.08625162,11.179285,,0.96195,0.013787985,29.473133,,0.9456,0.1443063,24.45683,,0.81885,0.012452006,9.575407,,0.8416,0.04669094,2.0163193,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/21,21,False
21,slcp,604243217,CNRE,74,74,75,100.0,0,128,3,11.830606,95.00198567708334,0.90935,0.04196155,20.07698,,0.9099,0.06167209,21.156494,,0.93375,0.27170634,22.81871,,0.9438,0.21124256,3.3433015,,0.91345,0.094195604,21.920883,,0.8536,0.05817473,12.047999,,0.9805,0.23794472,30.62836,,0.982,0.10111678,26.351898,,0.8648,0.062356114,9.627428,,0.90855,0.052397728,1.7118435,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/24,24,False
22,slcp,73105920,CNRE,24,24,25,0.001,0,128,3,8.004925,22.97981974283854,0.8422,0.008951068,20.010353,,0.8413,0.02990055,23.120548,,0.8028,0.08314669,27.61095,,0.9034,0.04141295,3.0313058,,0.7658,0.018725276,23.367584,,0.7466,0.023798108,11.095654,,0.91235,0.0069087744,29.319683,,0.8927,0.011383891,24.682568,,0.82965,0.009880066,9.314394,,0.83825,0.102876306,2.113219,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/17,17,False
23,slcp,2791623385,CNRE,1,1,2,0.01,0,128,3,4.746889,17.171193440755207,0.86495,0.015150547,20.113987,,0.81125,0.013042927,22.5401,,0.74475,0.018508434,26.623379,,0.91365,0.040412664,3.019422,,0.77495,0.005933523,23.446007,,0.7256,0.006064892,10.854456,,0.9321,0.014180064,29.925362,,0.91015,0.016799212,24.935837,,0.7724,0.0064520836,9.758104,,0.8505,0.048594475,2.388793,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/4,4,False
24,slcp,667563062,CNRE,1,1,2,100.0,0,128,3,3.3284597,17.421138509114584,0.94475,0.026345968,20.081295,,0.90125,0.054626107,22.827831,,0.86135,0.0451504,26.094467,,0.95575,0.23716873,5.29488,,0.8034,0.02091968,23.864044,,0.86145,0.031763315,12.153828,,0.97155,0.14651453,30.280308,,0.94935,0.09224653,25.420116,,0.89115,0.081477284,11.595839,,0.9102,0.16489488,2.6536589,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/0,0,False
25,slcp,197021466,CNRE,49,49,50,0.001,0,128,3,8.748434,32.335302734375,0.8286,0.014685631,19.719597,,0.81365,0.032364488,23.069195,,0.77315,0.05467868,25.311165,,0.9102,0.069658875,3.414404,,0.81555,0.046266794,23.842968,,0.74495,0.009325981,11.290748,,0.9301,0.0033589602,28.863338,,0.9013,0.027150273,24.145151,,0.73665,0.0050427914,9.602789,,0.8176,0.028710127,1.6883968,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/23,23,False
26,slcp,2572169848,CNRE,99,99,100,0.1,0,128,3,7.967884,55.631229654947916,0.9233,0.073489785,20.201944,,0.9068,0.13700461,23.067905,,0.83975,0.09584975,26.106794,,0.9219,0.05590856,3.0516422,,0.8847,0.059467554,23.582405,,0.8781,0.17805243,10.310362,,0.9498,0.05164385,29.523426,,0.93905,0.11025822,24.480413,,0.80555,0.033034682,10.498858,,0.872,0.10133457,1.8007798,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/33,33,False
27,slcp,2689145220,CNRE,24,24,25,10.0,0,128,3,8.086834,23.896533203125,0.914,0.0038585663,18.680826,,0.8436,0.023314953,22.79682,,0.85115,0.06087947,26.239645,,0.92905,0.14847016,3.2246819,,0.77745,0.02108097,22.484322,,0.786,0.0030157566,10.483003,,0.9572,0.061255336,29.208023,,0.93715,0.018299937,24.378983,,0.79135,0.053372502,11.302783,,0.88555,0.09037137,2.2745833,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/13,13,False
28,slcp,2884334829,CNRE,149,149,150,0.1,0,128,3,7.9926124,69.377001953125,0.9063,0.073242545,20.557577,,0.9246,0.18229592,23.823164,,0.8647,0.17767715,26.614212,,0.93515,0.07846737,2.9128036,,0.8582,0.13401556,22.800488,,0.79425,0.019526958,11.09818,,0.97025,0.04648471,29.482237,,0.95635,0.17396009,22.442753,,0.82465,0.036857963,9.667867,,0.8402,0.07368326,2.2448459,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/39,39,False
29,slcp,2208003746,CNRE,24,24,25,0.01,0,128,3,7.2481008,20.24139404296875,0.88325,0.03136635,19.024837,,0.8021,0.017906666,23.127197,,0.74585,0.010522962,25.851944,,0.9108,0.04250729,3.5231862,,0.8394,0.037320375,22.656498,,0.74115,0.012614012,11.0334635,,0.9567,0.03099823,29.672594,,0.91315,0.0604856,23.719852,,0.72445,0.009474874,10.262648,,0.75645,0.00916338,2.315876,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/16,16,False
