,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,slcp_distractors,1856949902,CNRE,99,99,100,1.0,0,False,128,3,5.920772,107.51923828125,0.98945,0.1722455,896.1065,,0.98095,0.19202828,379.35455,,0.97465,0.073723435,386.8116,,0.9913,0.34540558,571.2822,,0.97255,0.057994366,897.0409,,0.96605,0.092787564,347.93115,,0.9929,0.080087066,1077.2852,,0.9901,0.1640315,425.9889,,0.97105,0.25470698,711.4227,,0.96875,0.32365447,352.2978,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/9,9
1,slcp_distractors,2787994641,CNRE,99,99,100,1.0,0,False,128,3,9.815928,122.77980143229166,0.9886,0.18610561,896.2578,,0.9702,0.08240855,377.8192,,0.97505,0.08912289,386.45782,,0.99025,0.2921648,571.07336,,0.967,0.089650035,896.33716,,0.96775,0.11843336,348.66614,,0.99245,0.054983974,1078.1917,,0.9882,0.09976745,424.28577,,0.9722,0.23142558,711.9861,,0.94015,0.11326653,350.1963,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/10,10
2,slcp_distractors,1518131803,CNRE,99,99,100,1.0,0,False,128,3,10.908398,124.18828125,0.98865,0.20805502,895.24927,,0.96495,0.11116278,380.86746,,0.96215,0.073117375,387.8059,,0.9873,0.1880703,572.4953,,0.96405,0.09199464,896.6716,,0.95995,0.074741006,346.00043,,0.99145,0.09110224,1076.5715,,0.98365,0.18489182,426.2773,,0.96395,0.15707093,713.351,,0.94765,0.22938204,348.3144,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/1,1
3,slcp_distractors,705063442,CNRE,99,99,100,1.0,0,False,128,3,10.672133,122.5445068359375,0.99055,0.2085495,894.3369,,0.9754,0.1772381,381.0462,,0.96355,0.08358598,385.90405,,0.99125,0.279916,571.30145,,0.96735,0.031348586,897.52954,,0.95645,0.11783767,346.61917,,0.9937,0.17954695,1075.7843,,0.98375,0.12142539,424.02094,,0.9696,0.1980027,710.942,,0.9585,0.25987488,349.5799,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/4,4
4,slcp_distractors,618426496,CNRE,99,99,100,1.0,0,False,128,3,5.971766,111.32509765625,0.99065,0.16485453,895.1687,,0.9844,0.25504047,381.2495,,0.9754,0.07907164,386.6447,,0.99085,0.36072695,572.3867,,0.9713,0.073482394,897.86743,,0.9718,0.15875643,348.9327,,0.99325,0.12077248,1077.5194,,0.9921,0.19736993,425.9654,,0.97365,0.2673278,711.9629,,0.9809,0.49458694,351.66425,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/0,0
5,slcp_distractors,159454676,CNRE,99,99,100,1.0,0,False,128,3,10.86527,126.3564208984375,0.9848,0.14814603,894.3385,,0.96165,0.13117969,380.70923,,0.9632,0.077649355,386.3097,,0.98585,0.1596514,569.7683,,0.9591,0.10976589,896.7877,,0.97395,0.08270669,347.2205,,0.98975,0.11894286,1076.373,,0.9761,0.10052395,426.29565,,0.98575,0.37940264,712.32166,,0.9419,0.10114503,351.13672,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/13,13
6,slcp_distractors,899233040,CNRE,99,99,100,1.0,0,False,128,3,10.280631,122.9916015625,0.98835,0.14604235,894.74805,,0.96965,0.18759477,377.2649,,0.96615,0.068611145,388.2343,,0.9895,0.21287888,570.3402,,0.9586,0.108020544,897.30884,,0.9586,0.07359338,347.06317,,0.9917,0.11245108,1076.934,,0.9861,0.2522056,426.38715,,0.97035,0.2422266,712.0957,,0.93825,0.14616317,350.619,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/7,7
7,slcp_distractors,492820852,CNRE,99,99,100,1.0,0,False,128,3,6.376002,106.5003173828125,0.9897,0.10602319,895.1056,,0.9813,0.17831266,380.95825,,0.9721,0.053978324,382.92822,,0.9921,0.3776208,572.13403,,0.97525,0.13363326,897.4328,,0.9717,0.20580822,345.8688,,0.99395,0.12898254,1077.0688,,0.99025,0.13591123,426.09772,,0.97115,0.24104524,712.83704,,0.97065,0.34501284,348.65338,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/3,3
8,slcp_distractors,3615116066,CNRE,99,99,100,1.0,0,False,128,3,8.334415,110.2565185546875,0.989,0.19376028,895.3214,,0.9822,0.148808,380.04135,,0.9752,0.11590588,388.09995,,0.98925,0.25275302,571.23254,,0.9662,0.07509792,896.49176,,0.9623,0.06877363,345.23105,,0.99375,0.13813424,1076.4882,,0.9881,0.09968686,425.71594,,0.95995,0.11092007,712.57654,,0.9652,0.26666963,349.95282,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/12,12
9,slcp_distractors,2345111870,CNRE,99,99,100,1.0,0,False,128,3,5.980404,114.32098795572917,0.9894,0.15284383,895.51605,,0.9812,0.20090914,379.359,,0.9759,0.05623114,385.8362,,0.9898,0.3181035,571.5349,,0.9757,0.11678219,896.6344,,0.96945,0.15343064,344.54382,,0.9939,0.120447636,1076.6106,,0.98855,0.12474799,424.95523,,0.96825,0.2342403,711.31396,,0.9801,0.47409302,351.0124,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra-extra/23-33-50/6,6
