,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,gaussian_linear,2819723463,CNRE,99,99,100,1.0,0,False,128,3,14.306001,202.25388997395834,0.67505,0.028658152,1.5940495,,0.6505,0.023461223,1.4883883,,0.69685,0.048276544,1.5024242,,0.78435,0.11365938,1.7737377,,0.61425,0.012681365,1.3168616,,0.64715,0.024011254,1.4108131,,0.60775,0.01403892,1.3649814,,0.67335,0.040432453,1.6210485,,0.6462,0.018782735,1.4659107,,0.72725,0.05385804,1.7334521,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/15,15
1,slcp,284602413,CNRE,99,99,100,1.0,0,False,128,3,10.188765,265.43597005208335,0.87555,0.02199328,19.90479,,0.77015,0.02752626,22.118544,,0.68965,0.010124445,26.051752,,0.9177,0.024202347,3.2744966,,0.79775,0.037715554,23.564808,,0.6995,0.010549188,10.517509,,0.9451,0.011365771,29.525501,,0.9113,0.022160292,24.21915,,0.6986,0.007407069,9.934526,,0.78335,0.0446254,1.941932,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/5,5
2,bernoulli_glm_raw,22242810,CNRE,99,99,100,1.0,0,False,128,3,13.083477,222.41580403645833,0.7333,0.09400761,3.8729835,,0.78275,0.063438535,4.582576,,0.7506,0.12239683,4.0,,0.7382,0.041163325,3.6055512,,0.79795,0.08526188,5.7445626,,0.74735,0.053935528,5.0990195,,0.74445,0.0413903,4.8989797,,0.6292,0.028658986,3.8729835,,0.6705,0.054296017,3.4641016,,0.81815,0.14240575,5.3851647,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/22,22
3,gaussian_linear_uniform,1427711303,CNRE,99,99,100,1.0,0,False,128,3,13.912768,209.33033854166666,0.73045,0.046142936,1.4977853,,0.8051,0.07185143,1.6603141,,0.73545,0.06780052,1.6783588,,0.7437,0.047617316,1.4372392,,0.74015,0.05294329,1.5142708,,0.77275,0.07329714,1.4994203,,0.70345,0.023013353,1.4176917,,0.8146,0.12634903,1.763665,,0.7827,0.067919254,1.5967168,,0.8312,0.08691907,1.6375803,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/9,9
4,gaussian_linear_uniform,1502327203,CNRE,99,99,100,1.0,0,False,128,3,11.987445,216.94005533854167,0.67035,0.027426362,1.4087372,,0.68605,0.036309123,1.4754941,,0.70285,0.05312729,1.589561,,0.6663,0.014960885,1.3570892,,0.658,0.017926335,1.3132046,,0.6751,0.02318561,1.3295013,,0.6714,0.019367337,1.2897254,,0.65455,0.027426124,1.3642344,,0.69195,0.034339428,1.367229,,0.65645,0.028511167,1.4395809,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/10,10
5,bernoulli_glm,2742182738,CNRE,99,99,100,1.0,0,False,128,3,14.154382,208.91915690104167,0.6494,0.045664787,9.736645,,0.66785,0.050951242,11.563301,,0.66375,0.024785995,11.3467245,,0.71465,0.08457196,10.704763,,0.7461,0.08917034,15.946569,,0.71535,0.056082726,12.798289,,0.6483,0.033106327,12.506668,,0.6896,0.03557384,10.575401,,0.65175,0.027026772,10.574217,,0.7118,0.05820155,15.205235,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/1,1
6,slcp_distractors,1187214704,CNRE,99,99,100,1.0,0,False,128,3,7.6508126,106.8799072265625,0.98965,0.18777215,895.15173,,0.9816,0.20986474,380.18665,,0.97465,0.077463865,386.70264,,0.9925,0.35544285,571.8326,,0.9696,0.07115531,897.5425,,0.96975,0.16430753,345.91058,,0.99455,0.11876631,1076.7998,,0.99115,0.16012943,427.04993,,0.97455,0.26884574,712.8458,,0.97345,0.40533325,351.18008,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/18,18
7,bernoulli_glm_raw,2331350334,CNRE,99,99,100,1.0,0,False,128,3,16.869284,198.59070638020833,0.99165,0.5740587,6.6332498,,0.933,0.25682968,4.8989797,,0.91525,0.19198054,4.472136,,0.9444,0.2606997,4.1231055,,0.9747,0.42564565,6.0,,0.99015,0.50460917,6.6332498,,0.9742,0.4583562,5.656854,,0.90105,0.3374142,4.358899,,0.92215,0.25509602,4.0,,0.98465,0.5276108,5.477226,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/21,21
8,gaussian_linear,1832696948,CNRE,99,99,100,1.0,0,False,128,3,8.640173,357.1352864583333,0.5427,0.008649111,1.5058935,,0.53355,0.00767982,1.3906777,,0.5565,0.011966109,1.4447877,,0.58095,0.017112613,1.6347885,,0.5222,0.0028761625,1.2896966,,0.5316,0.0045280457,1.3483158,,0.5214,0.0016058683,1.3624442,,0.5817,0.018168569,1.5836183,,0.5187,0.0033863783,1.3981857,,0.5387,0.0069482327,1.5199361,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/17,17
9,slcp,927060549,CNRE,99,99,100,1.0,0,False,128,3,10.519324,118.76713053385417,0.96475,0.075182796,20.122513,,0.9394,0.06284642,22.311405,,0.9337,0.1377492,27.598808,,0.96215,0.1448462,2.7652984,,0.90745,0.11662173,24.088902,,0.9134,0.052510858,10.357246,,0.9685,0.11571872,29.85768,,0.95075,0.1021955,25.436672,,0.9239,0.08295286,8.554453,,0.937,0.14089322,1.7660381,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/4,4
10,bernoulli_glm,4220509678,CNRE,99,99,100,1.0,0,False,128,3,11.424148,202.67845052083334,0.81945,0.10635877,13.0125065,,0.77285,0.10591626,13.514028,,0.8382,0.15525287,14.379468,,0.85355,0.20126694,12.718094,,0.8602,0.10981953,19.316628,,0.77305,0.1467219,14.216721,,0.8105,0.14036971,13.879581,,0.78855,0.15712118,11.976935,,0.8175,0.21139294,13.05619,,0.9064,0.26485986,22.901525,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/0,0
11,bernoulli_glm_raw,1921703370,CNRE,99,99,100,1.0,0,False,128,3,15.549177,382.7236328125,0.58465,0.012400508,3.6055512,,0.5946,0.024285793,4.582576,,0.69815,0.14547634,4.0,,0.6271,0.064139485,3.6055512,,0.6292,0.027177095,5.477226,,0.63085,0.027515769,4.8989797,,0.61,0.019532084,4.7958317,,0.6974,0.13393867,3.8729835,,0.6162,0.050835848,3.4641016,,0.6363,0.028614402,5.3851647,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/23,23
12,two_moons,1078378801,CNRE,99,99,100,1.0,0,False,128,3,9.909328,55.00748291015625,0.62045,0.0008176565,0.08944018,,0.5782,0.0058956146,0.09082484,,0.5718,8.094311e-05,0.08831781,,0.58765,0.002007246,0.09116271,,0.61435,0.00116992,0.097357735,,0.5537,-2.4437904e-05,0.08957811,,0.62935,0.0011870861,0.09192816,,0.60565,0.0030597448,0.08906238,,0.55235,0.018086016,0.08858971,,0.619,0.003042221,0.090746254,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/13,13
13,gaussian_linear,2438346680,CNRE,99,99,100,1.0,0,False,128,3,12.40795,207.38645833333334,0.59085,0.01864183,1.5287733,,0.5681,0.010941505,1.4145867,,0.5945,0.02193737,1.4752223,,0.61105,0.025472283,1.6472812,,0.55235,0.007530093,1.294261,,0.5552,0.010066748,1.329826,,0.55405,0.008069038,1.3636587,,0.60315,0.023426652,1.6623889,,0.555,0.0059947968,1.432107,,0.5956,0.018256903,1.5659899,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/16,16
14,gaussian_linear_uniform,3975762693,CNRE,99,99,100,1.0,0,False,128,3,12.676457,407.14814453125,0.54945,0.0052040815,1.3790262,,0.5441,0.004184246,1.4493163,,0.58075,0.013905764,1.5430894,,0.55565,0.0050917864,1.3570206,,0.53425,0.002436161,1.3182858,,0.53615,0.0031850338,1.3033801,,0.5489,0.0061479807,1.3235143,,0.54835,0.006698966,1.3487854,,0.5473,0.00513041,1.322408,,0.54945,0.0031955242,1.3679452,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/11,11
15,slcp,2944076060,CNRE,99,99,100,1.0,0,False,128,3,10.472234,107.89747721354166,0.9854,0.16209173,19.4317,,0.97955,0.084394455,18.18801,,0.95955,0.04560852,22.493027,,0.9865,0.11818755,3.9537144,,0.9519,0.052146196,20.98814,,0.9463,0.08450377,11.672707,,0.98935,0.028668523,26.719257,,0.98615,0.1250546,22.122705,,0.9661,0.18572521,8.945812,,0.9456,0.13762468,4.07874,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-19/3,3
